chart_name,source_table_or_view,grain,row_count,last_exported_at_utc,source_name,status
player_passing_week,silver.nfl_player_passing_week,one row per player per week,2223,2026-09-25T07:24:09.361129+00:00,nflverse,ok
player_rushing_week,silver.nfl_player_rushing_week,one row per player per week,2223,2026-09-25T07:24:09.391041+00:00,nflverse,ok
player_receiving_week,silver.nfl_player_receiving_week,one row per player per week,2223,2026-09-25T07:24:09.416503+00:00,nflverse,ok
player_scrimmage_week,silver.nfl_player_scrimmage_week,one row per player per week,2223,2026-09-25T07:24:09.471176+00:00,nflverse,ok
player_defense_week,silver.nfl_player_defense_week,one row per player per week,2223,2026-09-25T07:24:09.516105+00:00,nflverse,ok
player_scoring_week,silver.nfl_player_scoring_week,one row per player per week,2223,2026-09-25T07:24:09.602209+00:00,nflverse,ok
player_kicking_week,silver.nfl_player_kicking_week,one row per player per week,2223,2026-09-25T07:24:09.657022+00:00,nflverse,ok
player_returns_week,silver.nfl_player_returns_week,one row per player per week,2223,2026-09-25T07:24:09.746416+00:00,nflverse,ok
pfr_adv_passing_week,silver.nfl_pfr_adv_passing_week,one row per player per week,77,2026-09-25T07:24:09.810764+00:00,nflverse (PFR mirror),ok
pfr_adv_rushing_week,silver.nfl_pfr_adv_rushing_week,one row per player per week,262,2026-09-25T07:24:09.835368+00:00,nflverse (PFR mirror),ok
pfr_adv_receiving_week,silver.nfl_pfr_adv_receiving_week,one row per player per week,508,2026-09-25T07:24:09.851708+00:00,nflverse (PFR mirror),ok
pfr_adv_defense_week,silver.nfl_pfr_adv_defense_week,one row per player per week,915,2026-09-25T07:24:09.875779+00:00,nflverse (PFR mirror),ok
team_week,silver.nfl_team_week,one row per team per week,64,2026-09-25T07:24:09.955789+00:00,nflverse,ok
td_log,silver.nfl_td_log,one row per touchdown play,162,2026-09-25T07:24:10.001990+00:00,nflverse (play-by-play),ok
td_team_summary,silver.v_nfl_td_team_summary,"one row per team per season, scored vs allowed",32,2026-09-25T07:24:10.025022+00:00,nflverse (derived),ok
