season,scorer_player_id,scorer_player_name,team,total_tds,games_with_td,rushing_tds,receiving_tds,red_zone_tds
2026,00-0036223,J.Taylor,IND,4,2,4,0,3
2026,00-0034857,J.Allen,BUF,4,2,4,0,3
2026,00-0038543,J.Smith-Njigba,SEA,4,2,0,4,2
2026,00-0032764,D.Henry,BAL,4,2,4,0,3
2026,00-0036963,A.St. Brown,DET,4,2,0,4,3
2026,00-0036555,C.Hubbard,CAR,3,2,1,2,3
2026,00-0031588,S.Diggs,WAS,3,2,0,3,3
2026,00-0039139,J.Gibbs,DET,3,2,2,1,3
2026,00-0035685,D.Montgomery,HOU,3,1,2,1,3
2026,00-0036358,C.Lamb,DAL,3,2,0,3,2
2026,00-0038124,C.Watson,GB,3,2,0,3,2
2026,00-0036275,D.Swift,CHI,3,1,3,0,2
2026,00-0034351,D.Goedert,PHI,2,1,0,2,1
2026,00-0041037,D.Boston,CLE,2,2,0,2,0
2026,00-0036988,J.Palmer,BUF,2,2,0,2,0
2026,00-0038134,K.Walker,KC,2,1,1,1,1
2026,00-0036997,J.Williams,DAL,2,1,1,1,2
2026,00-0036322,J.Jefferson,MIN,2,1,0,2,1
2026,00-0039491,J.Coker,CAR,2,1,0,2,1
2026,00-0040128,T.Warren,IND,2,2,0,2,2
2026,00-0040122,A.Jeanty,LV,2,1,0,2,2
2026,00-0037838,I.Likely,NYG,2,1,0,2,2
2026,00-0039918,C.Williams,CHI,2,1,2,0,1
2026,00-0037744,T.McBride,ARI,2,2,0,2,2
2026,00-0040666,O.Hampton,LAC,2,2,2,0,2
2026,00-0038041,J.Ferguson,DAL,2,1,0,2,2
2026,00-0040676,C.Ward,TEN,2,1,2,0,2
2026,00-0037840,K.Williams,LA,2,2,1,1,2
2026,00-0033280,C.McCaffrey,SF,2,1,2,0,2
2026,00-0031381,D.Adams,LA,2,1,0,2,1
2026,00-0031610,D.Waller,CAR,2,1,0,2,2
2026,00-0035891,C.White,LV,2,1,0,2,2
2026,00-0036900,J.Chase,CIN,2,1,0,2,1
2026,00-0039915,L.McConkey,LAC,1,1,0,1,1
2026,00-0039793,A.Barner,SEA,1,1,1,0,1
2026,00-0031408,M.Evans,SF,1,1,0,1,1
2026,00-0034829,M.Gesicki,CIN,1,1,0,1,1
2026,00-0038597,C.Brown,CIN,1,1,1,0,1
2026,00-0034855,B.Mayfield,TB,1,1,1,0,1
2026,00-0038393,D.Wicks,PHI,1,1,0,1,1
2026,00-0037244,D.Lloyd,CAR,1,1,0,0,0
2026,00-0038710,B.Whiteheart,CLE,1,1,0,1,1
2026,00-0035689,D.Knox,BUF,1,1,0,1,1
2026,00-0038933,D.Kincaid,BUF,1,1,0,1,1
2026,00-0039811,M.Lloyd,GB,1,1,0,1,1
2026,00-0039794,B.Allen,NYJ,1,1,1,0,1
2026,00-0037740,G.Wilson,NYJ,1,1,0,1,1
2026,00-0030506,T.Kelce,KC,1,1,0,1,1
2026,00-0041496,J.Coleman,DEN,1,1,1,0,1
2026,00-0038563,T.Tucker,LV,1,1,0,1,0
2026,00-0037834,B.Purdy,SF,1,1,1,0,1
2026,00-0029892,K.Juszczyk,SF,1,1,0,1,1
2026,00-0036550,R.Bateman,BAL,1,1,0,1,0
2026,00-0037239,C.Olave,NO,1,1,0,1,0
2026,00-0040737,T.Ferguson,LA,1,1,0,1,1
2026,00-0034796,L.Jackson,BAL,1,1,1,0,1
2026,00-0040734,T.Henderson,NE,1,1,1,0,0
2026,00-0038120,B.Hall,NYJ,1,1,1,0,1
2026,00-0041027,J.Love,ARI,1,1,1,0,1
2026,00-0041032,K.Sadiq,NYJ,1,1,1,0,1
2026,00-0035644,N.Fant,NO,1,1,0,1,1
2026,00-0036894,P.Freiermuth,PIT,1,1,0,1,1
2026,00-0033886,T.Watt,PIT,1,1,0,0,0
2026,00-0036040,J.Johnson,NO,1,1,0,1,1
