season,week,game_id,underdog,favorite,dog_home,dog_moneyline,dog_spread,dog_record,dog_winning,stats_won,certified,dog_margin,won_outright,covered,dog_led,covered_3,covered_7,total_line,total_actual,over_hit,dog_win_pct,fav_win_pct,dog_opp_ppg,fav_opp_ppg,dog_third_down_pct,fav_third_down_pct,dog_turnover_pct,fav_turnover_pct,dog_def_rank,fav_def_rank
2023,6,2023_06_ARI_LA,ARI,LA,0,270.0,7.0,1-4-0,0,0,0,-17,0,0,1,0,0,48.0,35.0,0,0.2,0.4,27.2,21.6,0.417,0.437,0.098,0.098,30,12
2023,6,2023_06_BAL_TEN,TEN,BAL,1,205.0,5.5,2-3-0,0,1,0,-8,0,0,0,0,0,42.5,40.0,0,0.4,0.6,18.6,15.0,0.371,0.451,0.1,0.133,10,2
2023,6,2023_06_CAR_MIA,CAR,MIA,0,700.0,14.0,0-5-0,0,0,0,-21,0,0,1,0,0,47.5,63.0,1,0.0,0.8,28.8,27.0,0.408,0.413,0.143,0.138,25,24
2023,6,2023_06_DEN_KC,DEN,KC,0,470.0,10.5,1-4-0,0,1,0,-11,0,0,0,0,0,47.5,27.0,0,0.2,0.8,36.2,16.0,0.393,0.515,0.132,0.137,32,5
2023,6,2023_06_IND_JAX,IND,JAX,0,170.0,4.0,3-2-0,1,2,0,-17,0,0,1,0,0,44.0,57.0,1,0.6,0.6,23.0,20.4,0.391,0.377,0.066,0.117,22,17
2023,6,2023_06_MIN_CHI,CHI,MIN,1,140.0,3.0,1-4-0,0,2,0,-6,0,0,0,0,1,44.5,32.0,0,0.2,0.2,31.4,24.4,0.4,0.383,0.151,0.216,31,26
2023,6,2023_06_NE_LV,NE,LV,0,124.0,3.0,1-4-0,0,3,0,-4,0,0,0,0,1,41.5,38.0,0,0.2,0.4,26.2,22.8,0.329,0.327,0.161,0.22,13,19
2023,6,2023_06_NO_HOU,HOU,NO,1,110.0,2.0,2-3-0,0,2,0,7,1,1,1,1,1,42.5,33.0,0,0.4,0.6,20.0,15.2,0.455,0.373,0.036,0.083,15,3
2023,6,2023_06_NYG_BUF,NYG,BUF,0,750.0,15.5,1-4-0,0,0,0,-5,0,1,1,0,1,43.5,23.0,0,0.2,0.6,30.6,16.0,0.356,0.492,0.148,0.127,27,9
2023,6,2023_06_PHI_NYJ,NYJ,PHI,1,245.0,6.5,2-3-0,0,1,0,6,1,1,1,1,1,43.0,34.0,0,0.4,1.0,21.0,20.8,0.262,0.507,0.119,0.093,11,21
2023,6,2023_06_WAS_ATL,WAS,ATL,0,105.0,1.5,2-3-0,0,0,0,8,1,1,1,1,1,42.0,40.0,0,0.4,0.6,32.0,19.2,0.367,0.385,0.175,0.123,23,4
2023,7,2023_07_ARI_SEA,ARI,SEA,0,350.0,9.5,1-5-0,0,1,0,-10,0,0,1,0,0,43.5,30.0,0,0.2,0.6,28.4,21.6,0.435,0.316,0.098,0.054,29,26
2023,7,2023_07_ATL_TB,ATL,TB,0,124.0,3.0,3-3-0,0,1,0,3,1,1,1,1,1,37.5,29.0,0,0.4,0.6,22.0,17.6,0.4,0.42,0.182,0.075,6,10
2023,7,2023_07_BUF_NE,NE,BUF,1,310.0,7.5,1-5-0,0,0,0,4,1,1,1,1,1,41.0,54.0,1,0.2,0.8,25.4,13.4,0.356,0.516,0.155,0.094,14,5
2023,7,2023_07_CLE_IND,IND,CLE,1,150.0,3.5,3-3-0,0,2,0,-1,0,1,1,1,1,40.0,77.0,1,0.6,0.6,24.2,15.4,0.419,0.306,0.085,0.188,23,2
2023,7,2023_07_DET_BAL,DET,BAL,0,136.0,3.0,5-1-0,1,2,0,-32,0,0,0,0,0,43.5,44.0,1,0.8,0.6,18.6,16.4,0.441,0.444,0.086,0.115,12,1
2023,7,2023_07_GB_DEN,GB,DEN,0,-102.0,1.5,2-3-0,0,5,0,-2,0,0,1,1,1,44.0,36.0,0,0.4,0.2,22.6,36.6,0.409,0.382,0.105,0.175,17,32
2023,7,2023_07_JAX_NO,JAX,NO,0,124.0,2.5,4-2-0,1,2,0,7,1,1,1,1,1,41.0,55.0,1,0.6,0.4,20.2,16.2,0.38,0.365,0.102,0.086,18,3
2023,7,2023_07_LAC_KC,LAC,KC,0,215.0,5.5,2-3-0,0,1,0,-14,0,0,0,0,0,48.5,48.0,0,0.4,1.0,24.8,13.4,0.382,0.507,0.056,0.137,28,4
2023,7,2023_07_LV_CHI,CHI,LV,1,120.0,2.5,1-5-0,0,2,0,18,1,1,1,1,1,38.5,42.0,1,0.2,0.4,27.6,23.0,0.439,0.35,0.167,0.212,30,20
2023,7,2023_07_MIA_PHI,MIA,PHI,0,130.0,3.0,5-1-0,1,1,0,-14,0,0,0,0,0,52.0,48.0,0,0.8,0.8,24.4,20.8,0.44,0.541,0.119,0.16,27,19
2023,7,2023_07_PIT_LA,PIT,LA,0,145.0,3.5,3-2-0,1,3,1,7,1,1,1,1,1,44.0,41.0,0,0.6,0.4,22.0,20.8,0.37,0.364,0.081,0.096,21,11
2023,7,2023_07_SF_MIN,MIN,SF,1,260.0,7.0,2-4-0,0,0,0,5,1,1,1,1,1,44.5,39.0,0,0.4,0.8,23.0,16.0,0.322,0.434,0.173,0.036,22,7
2023,7,2023_07_WAS_NYG,NYG,WAS,1,136.0,3.0,1-5-0,0,3,0,7,1,1,1,1,1,37.0,21.0,0,0.2,0.4,25.4,32.0,0.408,0.345,0.096,0.125,25,24
2023,8,2023_08_ATL_TEN,TEN,ATL,1,110.0,2.5,2-4-0,0,1,0,5,1,1,1,1,1,35.0,51.0,1,0.4,0.4,20.2,19.8,0.373,0.426,0.062,0.218,9,4
2023,8,2023_08_BAL_ARI,ARI,BAL,1,380.0,9.5,1-6-0,0,2,0,-7,0,1,1,0,push,44.5,55.0,1,0.2,0.6,26.2,12.8,0.418,0.409,0.096,0.129,26,1
