season,team,player_id,player_name,position,interceptions,interception_yards,passes_defended,games,int_rank_on_team
2026,NYG,00-0036998,Jevon Holland,SAF,2,0,2,2,1
2026,SEA,00-0034974,Julian Love,SAF,2,0,3,2,1
2026,CAR,00-0037244,Devin Lloyd,LB,2,69,3,1,1
2026,LV,00-0040889,Hezekiah Masses,CB,2,29,2,1,1
2026,TEN,00-0035632,Amani Hooker,SAF,1,92,1,1,1
2026,TB,00-0041502,Josiah Trotter,LB,1,38,1,1,1
2026,ARI,00-0035378,Andrew Wingard,SAF,1,0,1,1,1
2026,CHI,00-0041060,Malik Muhammad,CB,1,0,2,1,1
2026,NO,00-0036253,Julian Blackmon,SAF,1,2,1,1,1
2026,LA,00-0037841,Quentin Lake,SAF,1,0,3,1,1
2026,LA,00-0037191,Trent McDuffie,CB,1,22,4,1,2
2026,DET,00-0036964,Derrick Barnes,LB,1,3,2,1,1
2026,DET,00-0033294,Chuck Clark,SAF,1,1,1,1,2
2026,JAX,00-0033928,Jourdan Lewis,CB,1,0,1,1,1
2026,JAX,00-0034413,Foye Oluokun,LB,1,22,1,1,2
2026,BAL,00-0034874,Roquan Smith,ILB,1,1,1,1,1
2026,MIA,00-0040182,Dante Trader Jr.,SAF,1,14,1,1,1
2026,MIA,00-0041528,Michael Taaffe,SAF,1,2,1,1,2
2026,DEN,00-0038552,Riley Moss,CB,1,3,3,1,2
2026,TEN,00-0040201,Marcus Harris,CB,1,3,1,1,2
2026,MIN,00-0035795,James Pierre,CB,1,28,2,1,1
2026,LAC,00-0039369,Cam Hart,CB,1,2,2,1,1
2026,DEN,00-0036221,Brandon Jones,SAF,1,24,1,1,1
2026,CLE,00-0039417,Myles Harden,CB,1,25,2,1,1
2026,NE,00-0041569,Gabe Jacas,LB,1,11,1,1,1
2026,PIT,00-0038135,Jaquan Brisker,SAF,1,10,1,1,1
2026,PIT,00-0036323,Patrick Queen,LB,1,3,1,1,2
2026,PIT,00-0033886,T.J. Watt,OLB,1,35,1,1,3
2026,GB,00-0035133,Keisean Nixon,DB,1,11,1,1,1
2026,KC,00-0036416,Kristian Fulton,CB,1,0,1,1,1
2026,KC,00-0041543,Mansoor Delane,CB,1,5,1,1,2
2026,LV,00-0040868,Treydan Stukes,SAF,1,0,1,1,2
2026,SF,00-0039345,Renardo Green,CB,1,0,1,1,1
2026,CAR,00-0035687,Bobby Okereke,ILB,1,3,1,1,2
2026,SEA,00-0039795,Nehemiah Pritchett,CB,1,30,2,1,2
2026,SEA,00-0037137,Josh Jobe,CB,1,0,1,1,3
2026,MIN,00-0035236,Byron Murphy,CB,1,-1,2,1,2
