espn_athlete_id,player_name,team,status,injury_type,injury_location,injury_side,return_date,short_comment,long_comment,reported_at,fetched_at_utc,source_name
638949,Max Melton,ARI,Questionable,Toe,Leg,Left,2026-09-27,"Melton (toe) did not participate at the Cardinals' practice Wednesday, Josh Weinfuss of ESPN.com reports.","Melton suffered a toe injury during the team's 31-7 loss to Seattle in Week 2, and he is considered day-to-day. The cornerback will have two more chances to return to practice prior to Sunday's matchup with the 49ers. If he can't play this week, Kalen King would be a top candidate to draw a start at slot cornerback versus San Francisco.",2026-09-23 21:12:00,2026-09-24 20:37:16.310505,espn
638947,Garrett Williams,ARI,Questionable,Achilles,Leg,Not Specified,2026-09-27,"Williams (Achilles) was a limited participant at the Cardinals' practice Wednesday, Josh Weinfuss of ESPN.com reports.","Williams has yet to make his season debut as he continues to work his way back from an Achilles injury he suffered in December, but he appears to be nearing a return to action. With fellow cornerback Will Johnson (neck) expected to miss the remainder of the 2026 campaign, Williams will have a chance to step into a starting role once he's healthy. The 25-year-old will have two more opportunities to log a full practice before Sunday's matchup with San Francisco.",2026-09-23 21:08:00,2026-09-24 20:37:16.310505,espn
638944,Dadrion Taylor-Demerson,ARI,Questionable,Back,Torso,,2026-09-27,"Taylor-Demerson (back) did not participate at the Cardinals' practice Wednesday, Josh Weinfuss of ESPN.com reports.",Taylor-Demerson is dealing with an apparent back injury after he played two defensive snaps and 15 snaps on special-teams during the team's 31-7 loss to the Seahawks in Week 2. The safety will have two more chances to return to practice before Sunday's matchup with the 49ers.,2026-09-23 21:01:00,2026-09-24 20:37:16.310505,espn
638941,Andrew Billings,ARI,Active,,,,,"Billings (knee) did not appear on the Cardinals' injury report Wednesday, Josh Weinfuss of ESPN.com reports.","Billings was unable to play in Sunday's 31-7 loss to the Seahawks after suffering a knee injury earlier in the week, but he now appears to be back to full health. The 31-year-old will likely be back in his role as a primary reserve option behind Roy Lopez (groin) and Walter Nolen at defensive tackle versus San Francisco in Week 3.",2026-09-23 20:54:00,2026-09-24 20:37:16.310505,espn
638899,Starling Thomas V,ARI,Active,,,,,"The Cardinals signed Thomas to the active roster from their practice squad Wednesday, Darren Urban of the team's official site reports.","Thomas appeared in 17 games for Arizona during the 2024 campaign and logged 47 tackles (31 solo) and a forced fumble, but he missed the entirety of last season due to a torn ACL. With Will Johnson expected to miss the remainder of the season due to a neck injury, Thomas should provide additional depth at corner to help fill the void.",2026-09-23 19:20:00,2026-09-24 20:37:16.310505,espn
-2013526,Hjalte Froholdt,ARI,Questionable,Knee,Leg,,2026-09-27,questionable,questionable,2026-09-23 19:12:00,2026-09-24 20:37:16.310505,espn
-2013515,Roy Lopez,ARI,Questionable,Groin,Groin,,2026-09-27,questionable,questionable,2026-09-23 19:11:00,2026-09-24 20:37:16.310505,espn
638858,Will Johnson,ARI,Injured Reserve,Neck,Head,Not Specified,2027-02-15,"The Cardinals placed Johnson (neck) on injured reserve  Wednesday, Darren Urban of the team's official site reports.","Johnson suffered a neck injury in the 31-7 loss to the Seahawks in Week 2. He was placed on injured reserve, so he is guaranteed to miss at least four games. However, the 23-year-old isn't expected to play again this season. If that's the case, he will finish the year with eight total tackles (three solo), one fumble recovery and one pass defended. Without Johnson, Garrett Williams (Achilles), who has yet to play this season, could take on a larger role upon his return. Max Melton (toe), Kei'Trel Clark and Starling Thomas, the latter who was promoted from the practice squad, may also be more involved.",2026-09-23 17:14:00,2026-09-24 20:37:16.310505,espn
638759,Mack Wilson Sr.,ARI,Active,,,,,Wilson recorded nine tackles (four solo) in Sunday's loss to the Seahawks.,"Wilson briefly exited Week 2 with a thumb injury but quickly returned and ended up playing 92.9 percent of the defensive snaps versus Seattle. After two games this season, Wilson has 15 tackles (six solo) and one pass breakup.",2026-09-22 21:31:00,2026-09-24 20:37:16.310505,espn
638757,Budda Baker,ARI,Active,,,,,"Baker recorded 11 tackles (seven solo), including 1.0 sacks, and a pass breakup in Sunday's loss to the Seahawks.","While Baker racked up a load of tackles, he was burned in coverage on Jaxon Smith-Njigba's 82-yard touchdown on a double-move in the first quarter. JSN made the entire Arizona secondary look foolish en route to 9-155-3 receiving line across 11 targets. Through two games this season, Baker has 16 tackles (11 solo), including 1.5 sacks, on 100 percent of the defensive snaps.",2026-09-22 21:29:00,2026-09-24 20:37:16.310505,espn
638600,Kendrick Bourne,ARI,Active,,,,,Bourne caught two of his three targets for 11 yards in Sunday's 31-7 loss to the Seahawks.,Bourne played 30 of the Cardinals' 50 offensive snaps in Sunday's contest. The wide receiver continues to garner some attention behind leading weapons Trey McBride and Michael Wilson while playing a significant share of the team's snaps.,2026-09-21 22:29:00,2026-09-24 20:37:16.310505,espn
638538,Chad Ryland,ARI,Active,,,,,Ryland did not have any field-goal tries but converted on his only extra-point attempt during Sunday's 31-7 loss versus the Seahawks.,"In a contest where Arizona's passing attack was all but completely stifled, Ryland only got one opportunity to add to the scoreboard. It's hard for things to go much worse from a fantasy perspective, but the Cardinals have another tough matchup on tap against San Francisco in Week 3.",2026-09-21 19:23:00,2026-09-24 20:37:16.310505,espn
-2010576,Josh Fryar,ARI,Active,,,,,,,2026-09-21 13:59:00,2026-09-24 20:37:16.310505,espn
638405,Tyler Allgeier,ARI,Active,,,,,Allgeier turned five carries into 10 yards and caught both of his targets for nine yards in Sunday's 31-7 loss to the Seahawks.,"Allgeier saw a substantial reduction in his rush attempts in Week 2, going from 17 carries Week 1 versus the Chargers to only having five in Sunday's blowout loss. The running back and the rest of Arizona's offense never found any sort of sustained success against Seattle, so he was far from being the only disappointing player in the contest. Notably, rookie first-rounder Jeremiyah Love garnered four more carries and reeled in one more catch than Allgeier, and the latter figures to fade into a No. 2 role as the season progresses.",2026-09-20 22:12:00,2026-09-24 20:37:16.310505,espn
638362,Jacoby Brissett,ARI,Active,,,,,Brissett completed 17 of 28 passes for 95 yards with a touchdown and an interception while also adding a seven-yard rush in Sunday's 31-7 loss to Seattle.,"Brissett struggled to push the ball down the field against the Seahawks' vaunted secondary, and as a result, he was limited to just 5.4 yards per completion. The quarterback was able to connect with tight end Trey McBride for a two-yard score to open the second quarter, but that was the only bright spot on the day for the 33-year-old. He attempted to find wide receiver Michael Wilson deep down the left sideline in the third quarter, but Julian Love jumped in front of it for his the safety's second interception of the year. Brissett has proven to be more than capable of producing positive results for fantasy managers in his time with the Cardinals, and his next chance to get back on track will come Week 3 against the 49ers on the road.",2026-09-20 19:52:00,2026-09-24 20:37:16.310505,espn
638361,Marvin Harrison Jr.,ARI,Active,,,,,Harrison failed to catch his only target in Sunday's 31-7 loss to the Seahawks.,"Harrison was held without a reception for the second time in three regular-season contests dating back to Week 17 of the 2025 campaign. The wide receiver has now gone four straight regular-season games without recording multiple receptions, and quarterback Jacoby Brissett clearly prefers other options like tight end Trey McBride and fellow wideout Michael Wilson over Harrison again in 2026. It's hard to be confident in the 24-year-old former first-round pick heading into the team's Week 3 matchup with San Francisco.",2026-09-20 19:44:00,2026-09-24 20:37:16.310505,espn
638358,Michael Wilson,ARI,Active,,,,,Wilson caught two of seven targets for 18 yards in Sunday's 31-7 loss to the Seahawks.,"Wilson and the rest of the Cardinals' offense never got going Sunday, but he still finished second on the team in targets behind tight end Trey McBride (10) in the contest. Wilson continues to be quarterback Jacoby Brissett's favorite option at wide receiver, garnering 14 targets over the first two games of the regular season. The 26-year-old will look to find paydirt for the first time in 2026 when Arizona travels to face the 49ers in Week 3.",2026-09-20 19:34:00,2026-09-24 20:37:16.310505,espn
638350,Jeremiyah Love,ARI,Active,,,,,Love rushed nine times for 29 yards while catching all three of his targets for 16 yards in Sunday's 31-7 loss to Seattle.,"Love and the rest of the Cardinals' offense mustered only a combined 151 total yards Sunday. The running back was able to reel in multiple catches for the second straight week to open the regular season, and he saw 12 touches to Tyler Allgeier's seven in the contest. Arizona will have another tough test with a road matchup against the 49ers (2-0) in Week 3, but Love figures to continue to separate from the pack as the Cardinals' clear No. 1 option at running back moving forward.",2026-09-20 19:16:00,2026-09-24 20:37:16.310505,espn
638348,Trey McBride,ARI,Active,,,,,McBride caught eight of nine targets for 41 yards and a touchdown during Sunday's 31-7 loss to Seattle.,"McBride was the lone bright spot for Arizona's offense, reeling in nearly half of the team's 95 total passing yards in the game. The tight end was able to find the end zone for a second straight contest to open the regular season, snagging a two-yard score from Jacoby Brissett on the opening play of the second quarter. McBride is coming off of one of the most dominant seasons for a tight end in NFL history, and he's now off to a hot start in 2026, catching 17 of 22 targets for 136 yards and two scores over the Cardinals' first two games.",2026-09-20 19:06:00,2026-09-24 20:37:16.310505,espn
638214,Isaac Seumalo,ARI,Active,,,,,Seumalo (shoulder) is active for Sunday's game against Seattle.,"Seumalo earned the questionable tag after ending the week with consecutive limited practices, and he's been cleared to play after going through pregame warmups. Hayden Conner will provide depth at left guard behind Seumalo.",2026-09-20 14:37:00,2026-09-24 20:37:16.310505,espn
638213,Isaiah Adams,ARI,Active,,,,,Adams (knee) is active for Sunday's game against the Seahawks.,"Adams was limited in practice all week by a knee injury, but he's been cleared to play in Sunday's NFC West tilt. The third-year pro will start at right guard, with Jon Gaines providing depth at the position.",2026-09-20 14:34:00,2026-09-24 20:37:16.310505,espn
638199,Carson Beck,ARI,Active,,,,,"Beck (coach's decision) is inactive but will serve as the emergency third quarterback against the Seahawks on Sunday, Darren Urban of the Cardinals' official site reports.","For a second consecutive week, Beck will be the Cardinals' emergency QB3 behind Jacoby Brissett and Gardner Minshew. That means Beck cannot play Sunday unless both Brissett and Minshew were to be removed from the game due to illness, injury or ejection.",2026-09-20 14:16:00,2026-09-24 20:37:16.310505,espn
638197,Reggie Virgil,ARI,Active,,,,,Virgil (coach's decision) is inactive for Sunday's game against the Seahawks.,"The rookie fifth-rounder has been a healthy scratch for each of the Cardinals' first two games of the regular season, and the next chance for him to make his NFL debut is Week 3 against the 49ers on Sept. 27. The Cardinals will go with six active wide receivers Sunday, with the position group led by Michael Wilson, Marvin Harrison and Kendrick Bourne.",2026-09-20 14:13:00,2026-09-24 20:37:16.310505,espn
637974,Jack Gibbens,ARI,Active,,,,,"Gibbens (shoulder) does not have an injury designation ahead of Sunday's game against the Seahawks, Tyler Drake of ArizonaSports.com reports.","Gibbens' practice participation Wednesday and Thursday was limited by a shoulder injury that he likely picked up during the Cardinals' Week 1 win over the Chargers. However, he was able to shed an injury tag for Week 2 after fully participating in Friday's session. Gibbens played 54 of 55 defensive snaps this past Sunday against Los Angeles, finishing with seven tackles (five solo), including 0.5 sacks.",2026-09-18 19:22:00,2026-09-24 20:37:16.310505,espn
-2006824,Cody Simon,ARI,Active,,,,,,,2026-09-18 15:55:00,2026-09-24 20:37:16.310505,espn
639030,Jack Strand,ATL,Out,Coach's Decision,Other,Not Specified,2026-10-05,Strand (coach's decision) is inactive for Thursday's game against the Packers.,"Strand saw some action in relief of Cooper Rush in the 34-3 loss to Carolina in Week 2. However, he didn't play well, throwing for 59 yards and one interception off 8-for-15 passing, adding two carries for 16 yards. With Michael Penix (knee) and Tua Tagovailoa (oblique) back in the mix, and Rush serving as the emergency signal-caller, Strand's services won't be needed in Week 3.",2026-09-24 18:18:00,2026-09-24 20:37:16.310505,espn
639027,Billy Bowman Jr.,ATL,Active,,,,,Bowman (Achilles) is available for Thursday's game versus the Packers.,"Bowman sustained a season-ending Achilles injury ahead of the Week 12 meeting with the Saints during the 2025 campaign. It's unknown if the 23-year-old will be eased back into action. However, Bowman's return, even if it's in a limited capacity, couldn't come at a better time, considering A.J. Terrell (groin) was placed on injured reserve Tuesday. The 2025 No. 118 overall pick finished his inaugural year by accruing 26 total tackles (15 solo), 1.5 sacks, one interception and one pass defended in six regular-season games.",2026-09-24 18:12:00,2026-09-24 20:37:16.310505,espn
639024,Cooper Rush,ATL,Out,Coach's Decision,Other,Not Specified,2026-10-05,Rush (coach's decision) is inactive for Thursday's game versus Green Bay.,"Rush started for Atlanta in the team's first two games of the 2026 campaign. However, the signal-caller struggled overall, throwing for 229 yards, one touchdown and four interceptions while completing just 56.4 percent of his attempts. With Michael Penix (knee) and Tua Tagovailoa (oblique) back in the equation, Rush will be inactive against the Packers, though he will be available in an emergency situation.",2026-09-24 18:01:00,2026-09-24 20:37:16.310505,espn
-2014282,Robert Longerbeam,ATL,Out,Coach's Decision,Other,Not Specified,2026-10-05,inactive,inactive,2026-09-24 17:49:00,2026-09-24 20:37:16.310505,espn
-2014284,Ethan Onianwa,ATL,Out,Coach's Decision,Other,Not Specified,2026-10-05,inactive,inactive,2026-09-24 17:49:00,2026-09-24 20:37:16.310505,espn
-2014278,Malcolm DeWalt IV,ATL,Out,Coach's Decision,Other,Not Specified,2026-10-05,inactive,inactive,2026-09-24 17:49:00,2026-09-24 20:37:16.310505,espn
638876,Samson Ebukam,ATL,Out,Hamstring,Leg,Not Specified,2026-10-05,"Ebukam (hamstring) is officially listed as out for Thursday's game against the Packers, Tori McElhaney of the Falcons' official site reports.","Ebukam was not able to practice during the week, and he'll now have to miss at least one game as he recovers from the hamstring injury he suffered during Atlanta's loss versus the Panthers in Week 2. In his absence, Jared Ivey figures to see increased reps on the edge.",2026-09-23 18:26:00,2026-09-24 20:37:16.310505,espn
638691,Jawaan Taylor,ATL,Active,,,,,"Taylor (ribs) was a full participant in Tuesday's practice, Tori McElhaney of the Falcons' official site reports.","Taylor injured his ribs during the Falcons' 34-3 loss to the Panthers on Sunday. However, his full participation in Tuesday's practice means he'll start at right tackle against the Packers on Thursday.",2026-09-22 19:29:00,2026-09-24 20:37:16.310505,espn
638690,Zach Harrison,ATL,Active,,,,,"The Falcons signed Harrison to the active roster from their practice squad Tuesday, Tori McElhaney of the team's official site reports.","Harrison will rejoin the active roster after having been waived in late August before catching on with the team's practice squad. With Da'Shawn Hand (quadriceps) on injured reserve, Harrison will likely serve as Atlanta's primary rotational defensive end behind LaCale London and Brandon Dorlus.",2026-09-22 19:28:00,2026-09-24 20:37:16.310505,espn
638651,Nick Muse,ATL,Active,,,,,"Muse (shoulder) was a full participant in Tuesday's practice, Tori McElhaney of the Falcons' official site reports.","Muse popped up on Monday's estimated practice report due to a shoulder injury, but he was cleared to participate fully in Tuesday's practice and is on track to play against the Packers on Thursday. The fifth-year tight end has contributed on both offense as a blocker and on special teams, though he's yet to record a target through two regular-season games.",2026-09-22 18:24:00,2026-09-24 20:37:16.310505,espn
638650,Brandon Dorlus,ATL,Active,,,,,"Dorlus (thumb) was a full participant in Tuesday's practice, Tori McElhaney of the Falcons' official site reports.","Dorlus injured his thumb during the Falcons' 34-3 loss to the Panthers on Sunday, but his full participation in Tuesday's practice indicates he'll be available for Thursday's road game against the Packers. The third-year pro has four tackles (three solo) through the first two games of the regular season, though he's yet to record a sack after posting 8.5 sacks across 15 regular-season games in 2025.",2026-09-22 18:22:00,2026-09-24 20:37:16.310505,espn
638644,C.J. Henderson,ATL,Active,,,,,"Henderson is expected to step into a starting role at cornerback in Week 3, Tori McElhaney of the Falcons' official website reports.",Henderson has compiled five solo tackles and two passes defensed while playing 66 snaps on defense and 16 snaps with the special-teams unit over Atlanta's first two games of the season. The cornerback will now take over a starting role in the secondary after A.J. Terrell (groin) was placed on injured reserve Tuesday.,2026-09-22 18:11:00,2026-09-24 20:37:16.310505,espn
638635,Brian Robinson Jr.,ATL,Active,,,,,"Robinson (ankle) was a full participant in Tuesday's practice, Tori McElhaney of the Falcons' official site reports.","Listed as a limited participant for Atlanta's walk-through session Monday, Robinson was able to take every rep during Tuesday's session to clear up any concern about his availability heading into Thursday's game at Green Bay. While working in a backup role behind Bijan Robinson for the Falcons' first two games, Brian Robinson has carried 20 times for 82 yards and has recorded two receptions for 16 yards.",2026-09-22 15:12:00,2026-09-24 20:37:16.310505,espn
638634,Tua Tagovailoa,ATL,Active,,,,,"Tagovailoa (oblique) was a full participant in Tuesday's practice, Tori McElhaney of the team's official site reports.","Tagovailoa took part in his first full practice since Sept. 9, after he sustained an oblique injury a day later that kept him from playing in either of the Falcons' first two games of the season. The 28-year-old had been poised to direct the offense in Week 1, but he'll now have to settle for the No. 2 role with Michael Penix (knee) getting cleared to make his 2026 debut as the team's starting quarterback Thursday versus the Packers.",2026-09-22 15:08:00,2026-09-24 20:37:16.310505,espn
638626,A.J. Terrell Jr.,ATL,Injured Reserve,Groin,Groin,Not Specified,2026-10-25,"The Falcons placed Terrell (groin) on injured reserve Tuesday, Tori McElhaney of the team's official site reports.","Terrell will be sidelined for at least the Falcons' next four games after sustaining a groin injury in the first quarter of Sunday's 34-3 loss to the Panthers. In Week 2, C.J. Henderson ended up filling in for Terrell at the boundary corner spot opposite Mike Hughes and appears primed to make regular starts so long as Terrell is out of action. The 27-year-old Terrell totaled six tackles and two pass breakups through the Falcons' first two contests of 2026.",2026-09-22 12:09:00,2026-09-24 20:37:16.310505,espn
638591,Zachariah Branch,ATL,Active,,,,,Branch caught both of his targets for 14 yards and returned one punt for seven yards in Sunday's 34-3 loss against the Panthers.,Branch saw 14 offensive snaps and 11 special-teams snaps in Sunday's contest. The wide receiver had a better Week 2 performance after not showing up in the box score for the Falcons' Week 1 loss to the Steelers. Branch remains the No. 1 punt returner for the team as well as a depth option at wide receiver.,2026-09-21 21:56:00,2026-09-24 20:37:16.310505,espn
638589,Austin Hooper,ATL,Active,,,,,Hooper caught two of his four targets for 20 yards in Sunday's 34-3 loss to the Panthers.,"Hooper's target tally was fairly robust considering his role as the No. 3 tight end. The 31-year-old saw the second-most targets for the Falcons on Sunday, finishing behind only wide receiver Drake London. For as long as either Cooper Rush or Jack Strand is at the helm of the offense, Hooper's large catch radius and experience could keep netting him consistent attention and production.",2026-09-21 21:46:00,2026-09-24 20:37:16.310505,espn
638588,Olamide Zaccheaus,ATL,Active,,,,,Zaccheaus caught one of three targets for three yards while returning four kickoffs for 79 yards in Sunday's 34-3 loss to the Panthers.,"Zaccheaus played 30 offensive snaps and seven special-teams snaps in Sunday's contest. The veteran wideout's versatility is valued, although he remains down the depth chart for the time being.",2026-09-21 21:38:00,2026-09-24 20:37:16.310505,espn
638586,Jahan Dotson,ATL,Active,,,,,Dotson caught two of four targets for 11 yards in Sunday's 34-3 loss to the Panthers.,"Dotson was on the field for 52 of the team's 69 offensive snaps, but it didn't really matter much as the Falcons put together another putrid offensive performance. The wide receiver will look to be more productive with Michael Penix (knee) making his return to action Thursday night against the Packers.",2026-09-21 21:31:00,2026-09-24 20:37:16.310505,espn
638536,Nick Folk,ATL,Active,,,,,Folk made one of his two field-goal attempts in Sunday's 34-3 loss to the Panthers.,Folk missed a 53-yard field goal in the fourth quarter of Sunday's contest. The kicker's 41-yard attempt near the end of the first half was the Falcons' only points on the afternoon. Folk is now 3-for-6  on field-goal attempts and has made his sole PAT over the first two weeks of the season.,2026-09-21 19:20:00,2026-09-24 20:37:16.310505,espn
638467,Michael Penix Jr.,ATL,Active,,,,,"The Falcons announced that Penix (knee) has been named the team's starting quarterback for Thursday's game against the Packers, Tori McElhaney of the team's official site reports.","Atlanta has determined that Penix is ready to make his 2026 debut, after he was held out for the first two games of the season while ramping back up from surgery last November to address a torn ACL in his left knee. Penix was cleared to resume taking part in 11-on-11 drills in late August, then avoided any setbacks while he was a full participant in practices throughout Weeks 1 and 2. With Penix back in the fold, Cooper Rush -- who started the first two games of the season -- could be inactive for Week 3 if Tua Tagovailoa (oblique) is deemed ready to handle the No. 2 role.",2026-09-21 15:39:00,2026-09-24 20:37:16.310505,espn
638287,Kyle Pitts Sr.,ATL,Active,,,,,Pitts brought in one of three targets for 15 yards in the Falcons' 34-3 loss to the Panthers on Sunday.,"Pitts was able to make his mark in the catch column for the first time in the new season, but that one reception turned out to be his only contribution on the afternoon. However, given Cooper Rush and Jack Strand combined to throw for only 145 yards and three interceptions, Pitts' sparse production is largely explained away. The talented tight end figures to see his outlook brighten whenever Michael Penix (knee) or Tua Tagovailoa (oblique) are able to suit up, with a Week 3 Thursday night road matchup against the Packers their next opportunity to do so.",2026-09-20 17:02:00,2026-09-24 20:37:16.310505,espn
638258,Drake London,ATL,Active,,,,,London brought in four of five targets for 51 yards and rushed once for minus-2 yards in the Falcons' 34-3 loss to the Panthers on Sunday.,"London's reception, receiving yardage and target totals, modest as they were, all led the Falcons on an afternoon where Cooper Rush and Jack Strand combined to throw for 145 yards and toss three interceptions. Sunday's production pushed London's early-season line to 6-80-0 on 10 targets, but those numbers could be due for a nice boost as soon as Thursday's Week 3 road matchup against the Packers if either Michael Penix (knee) or Tua Tagovailoa (oblique) is deemed available for that contest.",2026-09-20 16:14:00,2026-09-24 20:37:16.310505,espn
638241,Bijan Robinson,ATL,Active,,,,,Robinson rushed 16 times for 72 yards and brought in three of four targets for nine yards in the Falcons' 34-3 loss to the Panthers on Sunday.,"Considering the Falcons' air attack posed next to no threat to the Panthers defense while being helmed by Cooper Rush and Jack Strand, Robinson managed to put together a serviceable, albeit scoreless, day. The ultra-talented back didn't have a robust enough opportunity on the ground thanks to a game script that increasingly turned against the run, but Robinson's 4.5 yards per carry was more than respectable considering the circumstances. Either Michael Penix (knee) or Tua Tagovailoa (oblique) appear to have a chance to return for Thursday's Week 3 road matchup against the Packers, a development that would theoretically offer Robinson the opportunity to see some less crowded defensive fronts.",2026-09-20 15:45:00,2026-09-24 20:37:16.310505,espn
638141,Chris Lindstrom,ATL,Active,,,,,Lindstrom (concussion) is active for Sunday's game against the Panthers.,"Lindstrom was tagged as questionable for Sunday's NFC South tilt, and the veteran offensive lineman has been given the green light to play after passing the league's concussion protocol following an evaluation from an independent neurologist.",2026-09-20 11:38:00,2026-09-24 20:37:16.310505,espn
-2014492,Chris Moore,BAL,Questionable,Ankle,Leg,Not Specified,2026-09-27,questionable,questionable,2026-09-24 20:00:00,2026-09-24 20:37:16.310505,espn
