season,week,season_type,game_type,team,gsis_id,position,full_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,ingest_run_id
2026,1,REG,REG,ARI,00-0034381,LB,Josh Sweat,,,,Not injury related - resting player,Knee,Full Participation in Practice,20260925T015956Z
2026,1,REG,REG,ARI,00-0035859,P,Blake Gillikin,,,,Groin,,Full Participation in Practice,20260925T015956Z
2026,1,REG,REG,ARI,00-0039007,CB,Garrett Williams,Achilles,,Out,Achilles,,Limited Participation in Practice,20260925T015956Z
2026,1,REG,REG,ARI,00-0039808,G,Isaiah Adams,Knee,,Out,Knee,,Did Not Participate In Practice,20260925T015956Z
2026,1,REG,REG,ARI,00-0039864,S,Dadrion Taylor-Demerson,Ribs,,Out,Ribs,,Did Not Participate In Practice,20260925T015956Z
2026,1,REG,REG,ARI,00-0040751,CB,Will Johnson,,,,Ankle,,Full Participation in Practice,20260925T015956Z
2026,1,REG,REG,ARI,00-0041027,RB,Jeremiyah Love,Ankle,,Questionable,Ankle,,Limited Participation in Practice,20260925T015956Z
2026,1,REG,REG,ATL,00-0031279,T,Jake Matthews,,,,Not injury related - resting player,,Did Not Participate In Practice,20260925T015956Z
2026,1,REG,REG,ATL,00-0031576,DE,Za'Darius Smith,Shoulder,,Questionable,Shoulder,,Full Participation in Practice,20260925T015956Z
2026,1,REG,REG,ATL,00-0034371,DT,Da'Shawn Hand,,,,Knee,,Full Participation in Practice,20260925T015956Z
2026,1,REG,REG,ATL,00-0035237,T,Jawaan Taylor,,,,Knee,,Full Participation in Practice,20260925T015956Z
2026,1,REG,REG,ATL,00-0036212,QB,Tua Tagovailoa,Oblique,,Out,Oblique,,Did Not Participate In Practice,20260925T015956Z
2026,1,REG,REG,ATL,00-0036354,G,Kyle Hinton,,,,Knee,,Full Participation in Practice,20260925T015956Z
2026,1,REG,REG,ATL,00-0039859,DT,Brandon Dorlus,,,,Groin,,Full Participation in Practice,20260925T015956Z
2026,1,REG,REG,ATL,00-0039917,QB,Michael Penix Jr.,Knee,,Out,Knee,,Full Participation in Practice,20260925T015956Z
2026,1,REG,REG,ATL,00-0040156,CB,Billy Bowman Jr.,Achilles,,Out,Achilles,,Limited Participation in Practice,20260925T015956Z
