game_id,game_date,away_team,home_team,spread_line,away_spread_odds,home_spread_odds,total_line,over_odds,under_odds,away_moneyline,home_moneyline,source_note
2026_01_NE_SEA,2026-09-09,NE,SEA,3.0,-102,-118,44.5,-108,-112,140,-166,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_01_SF_LA,2026-09-10,SF,LA,3.5,-105,-115,47.5,-115,-105,180,-218,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_01_CHI_CAR,2026-09-13,CHI,CAR,-3.0,-112,-108,47.5,-105,-115,-166,140,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_01_TB_CIN,2026-09-13,TB,CIN,3.5,-102,-118,50.5,-108,-112,170,-205,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_01_NO_DET,2026-09-13,NO,DET,7.0,-110,-110,49.5,-115,-105,260,-325,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_01_BUF_HOU,2026-09-13,BUF,HOU,-1.5,-105,-115,44.5,-110,-110,-112,-108,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_01_BAL_IND,2026-09-13,BAL,IND,-3.0,-108,-112,48.5,-102,-118,-162,136,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_01_CLE_JAX,2026-09-13,CLE,JAX,8.5,-105,-115,40.5,-102,-118,360,-470,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_01_ATL_PIT,2026-09-13,ATL,PIT,6.5,-108,-112,40.5,-112,-108,240,-298,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_01_NYJ_TEN,2026-09-13,NYJ,TEN,1.5,-115,-105,39.5,-110,-110,-102,-118,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_01_ARI_LAC,2026-09-13,ARI,LAC,8.5,-102,-118,47.5,-102,-118,350,-455,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_01_MIA_LV,2026-09-13,MIA,LV,3.0,-110,-110,40.5,-110,-110,142,-170,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_01_GB_MIN,2026-09-13,GB,MIN,1.5,-105,-115,46.5,-102,-118,105,-125,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_01_WAS_PHI,2026-09-13,WAS,PHI,6.0,-110,-110,43.5,-115,-105,200,-245,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_01_DAL_NYG,2026-09-13,DAL,NYG,-3.0,-112,-108,47.5,-115,-105,-166,140,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_01_DEN_KC,2026-09-14,DEN,KC,2.5,-112,-108,42.5,-110,-110,110,-130,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_02_DET_BUF,2026-09-17,DET,BUF,5.5,-115,-105,54.5,-118,-102,195,-238,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_02_CAR_ATL,2026-09-20,CAR,ATL,-2.5,-120,100,43.5,-110,-110,-155,130,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_02_NO_BAL,2026-09-20,NO,BAL,8.5,-115,-105,45.5,-105,-115,295,-375,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_02_MIN_CHI,2026-09-20,MIN,CHI,4.5,-108,-112,46.5,-115,-105,180,-218,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_02_CIN_HOU,2026-09-20,CIN,HOU,3.0,-118,-102,45.5,-110,-110,124,-148,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_02_PIT_NE,2026-09-20,PIT,NE,4.5,-102,-118,41.5,-105,-115,185,-225,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_02_GB_NYJ,2026-09-20,GB,NYJ,-3.5,-108,-112,44.5,-110,-110,-185,154,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_02_CLE_TB,2026-09-20,CLE,TB,8.5,-115,-105,41.5,-108,-112,330,-425,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_02_PHI_TEN,2026-09-20,PHI,TEN,-7.0,-115,-105,39.5,-112,-108,-325,260,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_02_JAX_DEN,2026-09-20,JAX,DEN,2.5,-105,-115,45.5,-110,-110,124,-148,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_02_LV_LAC,2026-09-20,LV,LAC,6.5,102,-122,43.5,-110,-110,260,-325,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_02_SEA_ARI,2026-09-20,SEA,ARI,-3.5,-120,100,40.5,-115,-105,-218,180,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_02_WAS_DAL,2026-09-20,WAS,DAL,3.5,100,-120,51.5,-105,-115,180,-218,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_02_MIA_SF,2026-09-20,MIA,SF,12.5,-105,-115,44.5,-115,-105,600,-900,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_02_IND_KC,2026-09-20,IND,KC,6.0,-112,-108,46.5,-102,-118,215,-265,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_02_NYG_LA,2026-09-21,NYG,LA,6.5,-105,-115,47.5,-110,-110,240,-298,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_03_ATL_GB,2026-09-24,ATL,GB,4.5,-108,-112,43.5,-102,-118,190,-230,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_03_LAC_BUF,2026-09-27,LAC,BUF,7.0,-105,-115,50.5,-105,-115,270,-340,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_03_CAR_CLE,2026-09-27,CAR,CLE,-2.5,-118,-102,42.5,-108,-112,-148,124,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_03_NYJ_DET,2026-09-27,NYJ,DET,6.5,-110,-110,47.5,-112,-108,240,-298,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_03_HOU_IND,2026-09-27,HOU,IND,-1.5,-118,-102,42.5,-112,-108,-125,105,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_03_NE_JAX,2026-09-27,NE,JAX,3.0,-115,-105,45.5,-115,-105,130,-155,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_03_KC_MIA,2026-09-27,KC,MIA,-10.5,-112,-108,45.5,-115,-105,-650,470,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_03_TEN_NYG,2026-09-27,TEN,NYG,2.5,-102,-118,38.5,-108,-112,110,-130,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_03_CIN_PIT,2026-09-27,CIN,PIT,-3.5,-115,-105,42.5,-110,-110,-185,154,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_03_SEA_WAS,2026-09-27,SEA,WAS,-7.5,-108,-112,40.5,-102,-118,-355,280,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_03_ARI_SF,2026-09-27,ARI,SF,8.5,-112,-108,47.5,-115,-105,350,-455,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_03_MIN_TB,2026-09-27,MIN,TB,-1.5,-108,-112,42.5,-110,-110,-122,102,"nflverse_schedule -- reference line, not a live-updating snapshot"
2026_03_BAL_DAL,2026-09-27,BAL,DAL,-3.5,-105,-115,53.5,-105,-115,-175,145,"nflverse_schedule -- reference line, not a live-updating snapshot"
