param,value
k,1
r,0.7
sigma,13.1804
home,2.384
beta:SCORING,4.6119
beta:RED ZONE,-0.8315
beta:GROUND,1.3586
beta:AIR,0.1651
beta:BALL SECURITY,-0.7641
active,comp_pg:off
active,def_ints_pg:def
active,def_pd_pg:def
active,def_sack_pct:def
active,def_solo_pg:def
active,def_tackles_pg:def
active,fumbles_pg:off
active,ints_pg:off
active,margin_pg:def
active,margin_pg:off
active,opp_comp_pg:def
active,opp_pass_tds_pg:def
active,opp_pass_ypg:def
active,opp_ppg:def
active,opp_rush_td_pct:def
active,opp_rush_tds_pg:def
active,opp_rush_ypg:def
active,opp_rz_td_pct:def
active,opp_tds_pg:def
active,pass_tds_pg:off
active,pass_ypg:off
active,ppg:off
active,rush_td_pct:off
active,rush_ypg:off
active,rz_td_pct:off
active,sack_pct:off
active,tds_pg:off
trained_on,2023-2025
holdout_accuracy_2025,0.642
