season,week,season_type,game_id,play_id,opportunity_type,posteam,defteam,player_id,player_name,passer_player_id,passer_player_name,yardline_100,is_inside_20,is_inside_10,is_inside_5,is_goal_to_go,air_yards,pass_location,run_location,run_gap,down,ydstogo,qtr,game_seconds_remaining,score_differential,stress_level,is_high_stress,is_two_minute,is_qb_scramble,is_designed_run,completed,yards_gained,yards_after_catch,touchdown,first_down,turnover,play_description,ingest_run_id
2026,1,REG,2026_01_ARI_LAC,62,target,ARI,LAC,00-0037744,T.McBride,00-0033119,J.Brissett,70,False,False,False,False,22,right,,,1,10,1,3596,0,0,False,False,False,False,True,27,5,False,True,False,(14:56) 7-J.Brissett pass deep right to 85-T.McBride to LAC 43 for 27 yards (2-E.Molden).,20260925T065801Z
2026,1,REG,2026_01_ARI_LAC,109,target,ARI,LAC,00-0039849,M.Harrison,00-0033119,J.Brissett,41,False,False,False,False,11,middle,,,2,8,1,3514,0,1,False,False,False,False,False,0,,False,False,False,(13:34) (Shotgun) 7-J.Brissett pass incomplete short middle to 18-M.Harrison.,20260925T065801Z
2026,1,REG,2026_01_ARI_LAC,154,target,ARI,LAC,00-0037263,T.Allgeier,00-0033119,J.Brissett,30,False,False,False,False,1,right,,,1,10,1,3471,0,0,False,False,False,False,True,5,4,False,False,False,(12:51) 66-J.Williams reported in as eligible. 7-J.Brissett pass short right to 22-T.Allgeier to LAC 25 for 5 yards (0-D.Henley; 23-T.Jefferson).,20260925T065801Z
2026,1,REG,2026_01_ARI_LAC,247,target,ARI,LAC,00-0033307,K.Bourne,00-0033119,J.Brissett,19,True,False,False,False,2,left,,,2,10,1,3321,0,2,True,False,False,False,True,11,9,False,True,False,(10:21) (Shotgun) 7-J.Brissett pass short left to 17-K.Bourne to LAC 8 for 11 yards (20-C.Hart).,20260925T065801Z
2026,1,REG,2026_01_ARI_LAC,386,target,LAC,ARI,00-0039915,L.McConkey,00-0036355,J.Herbert,75,False,False,False,False,18,middle,,,2,8,1,3193,-7,1,False,False,False,False,True,18,0,False,True,False,(8:13) (Shotgun) 10-J.Herbert pass deep middle to 15-L.McConkey to LAC 43 for 18 yards (2-W.Johnson).,20260925T065801Z
2026,1,REG,2026_01_ARI_LAC,433,target,LAC,ARI,00-0039915,L.McConkey,00-0036355,J.Herbert,57,False,False,False,False,20,middle,,,2,10,1,3117,-7,1,False,False,False,False,True,23,3,False,True,False,(6:57) (Shotgun) 10-J.Herbert pass deep middle to 15-L.McConkey to ARI 34 for 23 yards (3-B.Baker).,20260925T065801Z
2026,1,REG,2026_01_ARI_LAC,458,target,LAC,ARI,00-0039915,L.McConkey,00-0036355,J.Herbert,34,False,False,False,False,14,middle,,,1,10,1,3076,-7,0,False,False,False,False,True,19,5,False,True,False,(6:16) (Shotgun) 10-J.Herbert pass short middle to 15-L.McConkey to ARI 15 for 19 yards (3-B.Baker).,20260925T065801Z
2026,1,REG,2026_01_ARI_LAC,612,target,ARI,LAC,00-0033307,K.Bourne,00-0033119,J.Brissett,69,False,False,False,False,4,right,,,2,9,1,2917,0,1,False,False,False,False,True,10,6,False,True,False,(3:37) (Shotgun) 7-J.Brissett pass short right to 17-K.Bourne to ARI 41 for 10 yards (3-D.James).,20260925T065801Z
2026,1,REG,2026_01_ARI_LAC,678,target,ARI,LAC,00-0037744,T.McBride,00-0033119,J.Brissett,69,False,False,False,False,10,middle,,,1,20,1,2855,0,0,False,False,False,False,True,17,7,False,False,False,(2:35) (Shotgun) 7-J.Brissett pass short middle to 85-T.McBride to ARI 48 for 17 yards (0-D.Henley; 2-E.Molden).,20260925T065801Z
2026,1,REG,2026_01_ARI_LAC,703,target,ARI,LAC,00-0037744,T.McBride,00-0033119,J.Brissett,52,False,False,False,False,6,right,,,2,3,1,2816,0,0,False,False,False,False,True,10,4,False,True,False,(1:56) 7-J.Brissett pass short right to 85-T.McBride to LAC 42 for 10 yards (0-D.Henley).,20260925T065801Z
