season,team,player_id,player_name,opportunity_type,field_side,depth_or_gap,opportunities,opportunities_stress,yards,tds
2026,ARI,00-0037744,T.McBride,target,right,deep_21_plus,1,0,27,0
2026,ARI,00-0033307,K.Bourne,target,left,short_0_5,5,2,36,0
2026,LAC,00-0039915,L.McConkey,target,middle,intermediate_11_20,3,0,60,0
2026,ARI,00-0033307,K.Bourne,target,right,short_0_5,1,0,10,0
2026,ARI,00-0037744,T.McBride,target,right,short_6_10,3,1,16,0
2026,ARI,00-0038559,Mi.Wilson,target,left,deep_21_plus,2,2,0,0
2026,ARI,00-0041027,J.Love,target,right,short_0_5,3,0,20,0
2026,LAC,00-0039915,L.McConkey,target,right,intermediate_11_20,2,1,14,0
2026,LAC,00-0033885,D.Njoku,target,middle,behind_los,1,1,6,0
2026,ARI,00-0037744,T.McBride,target,left,short_6_10,1,1,0,0
2026,LAC,00-0038544,Q.Johnston,target,left,short_0_5,2,0,8,0
2026,LAC,00-0040727,T.Harris,target,middle,intermediate_11_20,2,2,11,0
2026,ARI,00-0041027,J.Love,target,right,behind_los,1,1,0,0
2026,LAC,00-0039915,L.McConkey,target,right,short_6_10,1,1,8,1
2026,ARI,00-0038559,Mi.Wilson,target,right,short_0_5,2,0,6,0
2026,LAC,00-0040727,T.Harris,target,right,short_0_5,1,0,6,0
2026,LAC,00-0040727,T.Harris,target,left,behind_los,1,0,3,0
2026,LAC,00-0038544,Q.Johnston,target,right,intermediate_11_20,1,1,0,0
2026,LAC,00-0033885,D.Njoku,target,middle,short_0_5,1,0,13,0
2026,LAC,00-0038573,D.Davis,target,right,deep_21_plus,1,0,0,0
2026,LAC,00-0033885,D.Njoku,target,right,intermediate_11_20,2,2,27,0
2026,LAC,00-0038544,Q.Johnston,target,right,short_6_10,1,0,0,0
2026,PIT,00-0036894,P.Freiermuth,target,left,behind_los,2,1,11,0
2026,PIT,00-0035640,D.Metcalf,target,left,short_0_5,2,1,6,0
2026,PIT,00-0036252,M.Pittman,target,left,short_6_10,2,1,30,0
2026,PIT,00-0036139,R.Dowdle,target,left,short_6_10,1,0,0,0
2026,ATL,00-0038542,Bi.Robinson,target,right,behind_los,6,1,40,1
2026,ATL,00-0036970,K.Pitts,target,right,deep_21_plus,1,0,0,0
2026,ATL,00-0037741,J.Dotson,target,right,intermediate_11_20,1,1,0,0
2026,PIT,00-0035640,D.Metcalf,target,right,short_6_10,4,0,20,0
2026,PIT,00-0037228,J.Warren,target,right,behind_los,5,2,13,0
2026,ATL,00-0037741,J.Dotson,target,middle,intermediate_11_20,1,0,0,0
2026,PIT,00-0037228,J.Warren,target,right,short_0_5,1,0,18,0
2026,PIT,00-0037228,J.Warren,target,left,short_0_5,2,1,0,0
2026,PIT,00-0036894,P.Freiermuth,target,middle,short_6_10,1,1,6,1
2026,PIT,00-0036139,R.Dowdle,target,middle,short_0_5,2,0,13,0
2026,ATL,00-0037238,D.London,target,right,short_0_5,3,1,22,0
2026,PIT,00-0039739,R.Wilson,target,right,short_0_5,3,0,18,0
2026,PIT,00-0039739,R.Wilson,target,middle,intermediate_11_20,1,1,20,0
2026,ATL,00-0035208,O.Zaccheaus,target,middle,short_0_5,2,1,5,0
2026,PIT,00-0036894,P.Freiermuth,target,right,intermediate_11_20,1,0,19,0
2026,ATL,00-0037238,D.London,target,right,behind_los,1,1,0,0
2026,ATL,00-0037238,D.London,target,left,intermediate_11_20,1,0,21,0
2026,PIT,00-0036252,M.Pittman,target,left,intermediate_11_20,1,0,28,0
2026,PIT,00-0035640,D.Metcalf,target,right,deep_21_plus,2,1,0,0
2026,ATL,00-0037741,J.Dotson,target,left,intermediate_11_20,1,0,19,0
2026,PIT,00-0037228,J.Warren,target,left,behind_los,1,0,4,0
2026,PIT,00-0039739,R.Wilson,target,right,behind_los,1,0,1,0
2026,PIT,00-0035640,D.Metcalf,target,right,intermediate_11_20,1,1,14,0
2026,IND,00-0030279,K.Allen,target,left,short_6_10,2,1,7,0
2026,IND,00-0038997,J.Downs,target,middle,short_0_5,3,2,17,0
2026,IND,00-0032951,L.Treadwell,target,middle,short_0_5,1,0,0,0
2026,BAL,00-0039064,Z.Flowers,target,right,intermediate_11_20,1,1,18,0
2026,BAL,00-0040870,J.Lane,target,right,short_0_5,1,1,0,0
2026,IND,00-0040128,T.Warren,target,left,short_0_5,1,0,2,0
2026,BAL,00-0034753,M.Andrews,target,middle,intermediate_11_20,2,0,27,0
2026,IND,00-0035021,A.Dulin,target,right,short_0_5,1,0,0,0
2026,IND,00-0030279,K.Allen,target,right,short_6_10,1,0,9,0
2026,IND,00-0040128,T.Warren,target,right,intermediate_11_20,1,1,0,0
2026,BAL,00-0040075,L.Wester,target,middle,short_6_10,1,0,6,0
2026,BAL,00-0040075,L.Wester,target,right,short_0_5,1,0,9,0
2026,BAL,00-0034753,M.Andrews,target,middle,short_6_10,5,4,37,0
2026,BAL,00-0032398,C.Moore,target,left,deep_21_plus,3,3,53,0
2026,BAL,00-0034753,M.Andrews,target,right,short_6_10,1,0,13,0
2026,IND,00-0038997,J.Downs,target,right,intermediate_11_20,2,0,14,0
2026,HOU,00-0036554,N.Collins,target,right,short_0_5,1,0,9,0
2026,HOU,00-0038608,K.Boutte,target,right,intermediate_11_20,2,1,0,0
2026,BUF,00-0037261,K.Shakir,target,right,intermediate_11_20,2,1,16,0
2026,HOU,00-0038618,X.Hutchinson,target,right,behind_los,1,0,3,0
2026,BUF,00-0034827,D.Moore,target,right,deep_21_plus,1,0,43,1
2026,HOU,00-0040138,J.Noel,target,middle,intermediate_11_20,1,1,35,0
2026,HOU,00-0036554,N.Collins,target,middle,intermediate_11_20,2,2,24,1
2026,HOU,00-0034383,D.Schultz,target,left,short_0_5,2,1,9,0
2026,BUF,00-0034827,D.Moore,target,right,intermediate_11_20,1,1,17,0
2026,HOU,00-0034383,D.Schultz,target,middle,short_6_10,2,0,11,0
2026,HOU,00-0034981,F.Moreau,target,right,short_6_10,1,0,9,0
2026,HOU,00-0036554,N.Collins,target,middle,short_6_10,2,0,15,0
2026,BUF,00-0038933,D.Kincaid,target,middle,short_0_5,2,0,12,0
2026,HOU,00-0034383,D.Schultz,target,left,behind_los,1,1,0,0
2026,BUF,00-0036988,J.Palmer,target,left,deep_21_plus,1,1,0,0
2026,BUF,00-0036988,J.Palmer,target,middle,deep_21_plus,2,2,77,2
2026,HOU,00-0040138,J.Noel,target,right,intermediate_11_20,1,1,18,0
2026,CAR,00-0036555,C.Hubbard,target,right,short_0_5,1,1,4,1
2026,CAR,00-0037005,T.Tremble,target,right,short_0_5,1,0,3,0
2026,CHI,00-0032464,K.Raymond,target,right,intermediate_11_20,1,0,12,0
2026,CAR,00-0036555,C.Hubbard,target,left,behind_los,1,1,5,0
2026,CAR,00-0040124,T.McMillan,target,right,short_0_5,2,1,14,0
2026,CAR,00-0039491,J.Coker,target,middle,behind_los,1,0,3,0
2026,CAR,00-0037005,T.Tremble,target,right,behind_los,1,0,0,0
