season,week,game_id,team,player_id,player_name,position,spine_metric,spine_opportunities,spine_opps_stress,spine_opps_calm,team_spine_opportunities,team_spine_opps_stress,team_spine_opps_calm,targets,rushes,team_qb_designed_runs,team_qb_runs_inside_5,team_qb_runs_stress
2026,1,2026_01_ARI_LAC,ARI,00-0033119,J.Brissett,QB,rush_attempts_qb,5,3,2,33,10,23,0,5,5,0,3
2026,1,2026_01_ARI_LAC,LAC,00-0038454,K.Mitchell,RB,rush_attempts,4,2,2,16,6,10,0,4,0,0,0
2026,1,2026_01_ATL_PIT,ATL,00-0037746,Br.Robinson,RB,rush_attempts,9,0,9,31,5,26,0,9,0,0,0
2026,1,2026_01_BUF_HOU,BUF,00-0039471,F.Gore,RB,rush_attempts,1,0,1,20,8,12,0,1,5,1,3
2026,1,2026_01_CLE_JAX,CLE,00-0041037,D.Boston,WR,targets,4,2,2,22,4,18,4,0,3,0,2
2026,1,2026_01_CLE_JAX,JAX,00-0033319,N.Mullens,QB,rush_attempts_qb,3,1,2,32,10,22,0,3,5,0,2
2026,1,2026_01_DAL_NYG,NYG,00-0039384,T.Tracy,RB,rush_attempts,2,0,2,35,18,17,0,2,9,0,6
2026,1,2026_01_DEN_KC,DEN,00-0039732,B.Nix,QB,rush_attempts_qb,2,0,2,14,1,13,0,2,2,0,0
2026,1,2026_01_DEN_KC,KC,00-0041013,E.Johnson,RB,rush_attempts,8,2,6,34,14,20,2,8,3,0,3
2026,1,2026_01_GB_MIN,MIN,00-0032950,C.Wentz,QB,rush_attempts_qb,4,2,2,31,12,19,0,4,4,0,2
2026,1,2026_01_GB_MIN,GB,00-0038090,S.Moore,WR,targets,1,1,0,40,15,25,1,0,1,0,1
2026,1,2026_01_MIA_LV,MIA,00-0038128,M.Willis,QB,rush_attempts_qb,1,0,1,13,4,9,0,1,1,0,0
2026,1,2026_01_NYJ_TEN,NYJ,00-0030565,G.Smith,QB,rush_attempts_qb,4,2,2,37,14,23,0,4,4,0,2
2026,1,2026_01_NYJ_TEN,TEN,00-0040584,G.Helm,TE,targets,5,3,2,28,11,17,5,0,0,0,0
2026,1,2026_01_SF_LA,SF,00-0037834,B.Purdy,QB,rush_attempts_qb,3,2,1,28,5,23,0,3,3,0,2
2026,1,2026_01_WAS_PHI,WAS,00-0041096,K.Allen,RB,rush_attempts,4,3,1,29,13,16,0,4,2,0,2
2026,1,2026_01_WAS_PHI,PHI,00-0039746,W.Shipley,RB,rush_attempts,2,0,2,20,6,14,1,2,2,0,2
2026,2,2026_02_CIN_HOU,HOU,00-0034981,F.Moreau,TE,targets,2,0,2,50,19,31,2,0,0,0,0
2026,2,2026_02_CLE_TB,CLE,00-0033537,D.Watson,QB,rush_attempts_qb,4,2,2,20,9,11,0,4,4,0,2
2026,2,2026_02_CLE_TB,TB,00-0034855,B.Mayfield,QB,rush_attempts_qb,1,1,0,22,8,14,0,1,1,0,1
2026,2,2026_02_DET_BUF,BUF,00-0034827,D.Moore,WR,targets,0,0,0,28,11,17,0,1,9,1,7
2026,2,2026_02_GB_NYJ,NYJ,00-0039451,I.Williams,WR,targets,6,3,3,36,18,18,6,1,1,0,0
2026,2,2026_02_IND_KC,IND,00-0036223,J.Taylor,RB,rush_attempts,24,10,14,30,12,18,4,24,1,0,1
