season,week,game_type,game_id,pfr_game_id,pfr_player_id,pfr_player_name,team,opponent,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,times_pressured_pct,ingest_run_id
2026,1,REG,2026_01_NE_SEA,202609090sea,LockDr00,Drew Lock,SEA,NE,0,0.0,4,0.182,1,8,0,4,5,0.208,20260925T013701Z
2026,1,REG,2026_01_SF_LA,202609100ram,StafMa00,Matthew Stafford,LA,SF,0,0.0,6,0.25,0,3,0,7,7,0.28,20260925T013701Z
2026,1,REG,2026_01_SF_LA,202609100ram,PurdBr00,Brock Purdy,SF,LA,1,0.029,2,0.059,0,3,1,2,3,0.083,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,202609130car,YounBr01,Bryce Young,CAR,CHI,1,0.032,4,0.129,2,14,15,3,20,0.488,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,202609130car,PickKe00,Kenny Pickett,CAR,CHI,0,0.0,1,1.0,0,0,0,0,0,0.0,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,202609130car,WillCa03,Caleb Williams,CHI,CAR,0,0.0,3,0.12,2,12,8,1,11,0.282,20260925T013701Z
2026,1,REG,2026_01_TB_CIN,202609130cin,MayfBa00,Baker Mayfield,TB,CIN,1,0.037,2,0.074,4,4,4,2,10,0.278,20260925T013701Z
2026,1,REG,2026_01_NO_DET,202609130det,GoffJa00,Jared Goff,DET,NO,2,0.053,5,0.132,1,8,1,7,9,0.22,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,202609130htx,StroCJ00,C.J. Stroud,HOU,BUF,1,0.027,8,0.216,3,9,2,6,11,0.262,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,202609130clt,JackLa00,Lamar Jackson,BAL,IND,1,0.042,6,0.25,2,7,2,1,5,0.167,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,202609130jax,LawrTr00,Trevor Lawrence,JAX,CLE,0,0.0,2,0.095,1,2,2,2,5,0.208,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,202609130jax,WatsDe00,Deshaun Watson,CLE,JAX,0,0.0,4,0.182,5,6,3,4,12,0.4,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,202609130pit,JohnCa02,Cameron Johnston,PIT,ATL,0,0.0,1,1.0,0,0,0,1,1,1.0,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,202609130oti,SmitGe00,Geno Smith,NYJ,TEN,2,0.087,0,0.0,0,5,0,1,1,0.038,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,202609130sdg,HerbJu00,Justin Herbert,LAC,ARI,0,0.0,5,0.185,3,4,3,1,7,0.2,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,202609130sdg,BrisJa00,Jacoby Brissett,ARI,LAC,3,0.081,4,0.108,1,10,3,5,9,0.231,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,202609130rai,CousKi00,Kirk Cousins,LV,MIA,0,0.0,5,0.172,0,7,2,2,4,0.129,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,202609130rai,WillMa12,Malik Willis,MIA,LV,1,0.037,5,0.185,5,4,6,4,15,0.405,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,202609130min,WentCa00,Carson Wentz,MIN,GB,1,0.053,5,0.263,3,6,0,1,4,0.174,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,202609130min,LoveJo03,Jordan Love,GB,MIN,1,0.025,15,0.375,4,33,8,10,22,0.478,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,202609130nyg,DartJa00,Jaxson Dart,NYG,DAL,0,0.0,4,0.138,2,11,0,3,5,0.152,20260925T013701Z
2026,2,REG,2026_02_DET_BUF,202609170buf,GoffJa00,Jared Goff,DET,BUF,1,0.026,4,0.105,4,7,4,4,12,0.273,20260925T013701Z
2026,2,REG,2026_02_CAR_ATL,202609200atl,YounBr01,Bryce Young,CAR,ATL,1,0.031,4,0.125,2,9,7,4,13,0.333,20260925T013701Z
2026,2,REG,2026_02_NO_BAL,202609200rav,JackLa00,Lamar Jackson,BAL,NO,1,0.034,5,0.172,3,15,3,2,8,0.211,20260925T013701Z
2026,2,REG,2026_02_NO_BAL,202609200rav,ShouTy00,Tyler Shough,NO,BAL,1,0.031,2,0.063,3,16,1,1,5,0.128,20260925T013701Z
2026,2,REG,2026_02_MIN_CHI,202609200chi,WillCa03,Caleb Williams,CHI,MIN,4,0.174,3,0.13,3,21,7,3,13,0.406,20260925T013701Z
2026,2,REG,2026_02_CIN_HOU,202609200htx,BurrJo01,Joe Burrow,CIN,HOU,2,0.065,6,0.194,5,7,2,4,11,0.306,20260925T013701Z
2026,2,REG,2026_02_CLE_TB,202609200tam,MayfBa00,Baker Mayfield,TB,CLE,2,0.061,7,0.212,3,5,0,2,5,0.125,20260925T013701Z
2026,2,REG,2026_02_PHI_TEN,202609200oti,WardCa00,Cam Ward,TEN,PHI,1,0.056,3,0.167,2,4,1,1,4,0.167,20260925T013701Z
2026,2,REG,2026_02_PHI_TEN,202609200oti,HurtJa00,Jalen Hurts,PHI,TEN,1,0.029,6,0.176,3,9,3,5,11,0.262,20260925T013701Z
2026,2,REG,2026_02_JAX_DEN,202609200den,NixxBo00,Bo Nix,DEN,JAX,0,0.0,6,0.2,0,11,2,3,5,0.161,20260925T013701Z
2026,2,REG,2026_02_JAX_DEN,202609200den,LawrTr00,Trevor Lawrence,JAX,DEN,1,0.036,4,0.143,2,7,0,5,7,0.226,20260925T013701Z
2026,2,REG,2026_02_LV_LAC,202609200sdg,CousKi00,Kirk Cousins,LV,LAC,3,0.103,3,0.103,2,8,0,7,9,0.281,20260925T013701Z
2026,2,REG,2026_02_SEA_ARI,202609200crd,LockDr00,Drew Lock,SEA,ARI,2,0.077,2,0.077,1,6,1,2,4,0.148,20260925T013701Z
2026,2,REG,2026_02_WAS_DAL,202609200dal,PresDa01,Dak Prescott,DAL,WAS,0,0.0,3,0.097,2,13,7,4,13,0.361,20260925T013701Z
2026,2,REG,2026_02_WAS_DAL,202609200dal,MariMa01,Marcus Mariota,WAS,DAL,2,0.125,2,0.125,0,3,2,3,5,0.294,20260925T013701Z
2026,2,REG,2026_02_WAS_DAL,202609200dal,WillAn04,Antonio Williams,WAS,DAL,0,0.0,1,1.0,0,1,0,0,0,0.0,20260925T013701Z
2026,2,REG,2026_02_MIA_SF,202609200sfo,WillMa12,Malik Willis,MIA,SF,2,0.087,5,0.217,4,10,5,1,10,0.357,20260925T013701Z
2026,2,REG,2026_02_NYG_LA,202609210ram,StafMa00,Matthew Stafford,LA,NYG,4,0.133,1,0.033,1,8,0,1,2,0.061,20260925T013701Z
2026,2,REG,2026_02_NYG_LA,202609210ram,WinsJa00,Jameis Winston,NYG,LA,1,0.037,8,0.296,2,10,2,5,9,0.31,20260925T013701Z
2026,2,REG,2026_02_NYG_LA,202609210ram,DartJa00,Jaxson Dart,NYG,LA,0,0.0,0,0.0,0,4,0,1,1,0.2,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,202609090sea,DarnSa00,Sam Darnold,SEA,NE,0,0.0,1,0.5,1,1,0,0,1,0.333,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,202609090sea,MayeDr00,Drake Maye,NE,SEA,1,0.032,2,0.065,3,12,2,3,8,0.19,20260925T013701Z
2026,1,REG,2026_01_SF_LA,202609100ram,BennSt00,Stetson Bennett,LA,SF,0,0.0,1,0.333,0,0,0,1,1,0.25,20260925T013701Z
2026,1,REG,2026_01_TB_CIN,202609130cin,BurrJo01,Joe Burrow,CIN,TB,0,0.0,3,0.088,1,16,3,5,9,0.243,20260925T013701Z
2026,1,REG,2026_01_NO_DET,202609130det,ShouTy00,Tyler Shough,NO,DET,2,0.038,9,0.173,5,25,5,4,14,0.222,20260925T013701Z
