season,week,game_type,game_id,pfr_game_id,pfr_player_id,pfr_player_name,team,opponent,carries,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,receiving_broken_tackles,ingest_run_id
2026,1,REG,2026_01_NE_SEA,202609090sea,LockDr00,Drew Lock,SEA,NE,2,12.0,6.0,1.0,0.5,0,,20260925T013701Z
2026,1,REG,2026_01_SF_LA,202609100ram,StafMa00,Matthew Stafford,LA,SF,2,-1.0,-0.5,0.0,0.0,0,,20260925T013701Z
2026,1,REG,2026_01_SF_LA,202609100ram,McCaCh01,Christian McCaffrey,SF,LA,10,46.0,4.6,22.0,2.2,2,,20260925T013701Z
2026,1,REG,2026_01_SF_LA,202609100ram,PurdBr00,Brock Purdy,SF,LA,5,27.0,5.4,2.0,0.4,0,,20260925T013701Z
2026,1,REG,2026_01_SF_LA,202609100ram,SamuDe00,Deebo Samuel,SF,LA,1,9.0,9.0,3.0,3.0,0,,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,202609130car,HubbCh01,Chuba Hubbard,CAR,CHI,10,35.0,3.5,14.0,1.4,1,,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,202609130car,YounBr01,Bryce Young,CAR,CHI,2,10.0,5.0,0.0,0.0,0,,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,202609130car,PickKe00,Kenny Pickett,CAR,CHI,1,24.0,24.0,0.0,0.0,0,,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,202609130car,WillCa03,Caleb Williams,CHI,CAR,10,64.0,6.4,1.0,0.1,0,,20260925T013701Z
2026,1,REG,2026_01_TB_CIN,202609130cin,PeriSa00,Samaje Perine,CIN,TB,5,12.0,2.4,8.0,1.6,0,,20260925T013701Z
2026,1,REG,2026_01_TB_CIN,202609130cin,IrviBu00,Bucky Irving,TB,CIN,8,24.0,3.0,21.0,2.6,1,,20260925T013701Z
2026,1,REG,2026_01_TB_CIN,202609130cin,GainKe00,Kenneth Gainwell,TB,CIN,5,10.0,2.0,5.0,1.0,0,,20260925T013701Z
2026,1,REG,2026_01_TB_CIN,202609130cin,MayfBa00,Baker Mayfield,TB,CIN,5,26.0,5.2,4.0,0.8,0,,20260925T013701Z
2026,1,REG,2026_01_TB_CIN,202609130cin,JohnTe03,Tez Johnson,TB,CIN,1,-4.0,-4.0,0.0,0.0,0,,20260925T013701Z
2026,1,REG,2026_01_NO_DET,202609130det,GibbJa01,Jahmyr Gibbs,DET,NO,29,112.0,3.9,44.0,1.5,0,,20260925T013701Z
2026,1,REG,2026_01_NO_DET,202609130det,GoffJa00,Jared Goff,DET,NO,2,2.0,1.0,0.0,0.0,0,,20260925T013701Z
2026,1,REG,2026_01_NO_DET,202609130det,MillKe01,Kendre Miller,NO,DET,9,19.0,2.1,11.0,1.2,0,,20260925T013701Z
2026,1,REG,2026_01_NO_DET,202609130det,DonaCJ00,CJ Donaldson,NO,DET,2,1.0,0.5,3.0,1.5,0,,20260925T013701Z
2026,1,REG,2026_01_NO_DET,202609130det,BrowBa02,Barion Brown,NO,DET,1,3.0,3.0,0.0,0.0,0,,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,202609130htx,StroCJ00,C.J. Stroud,HOU,BUF,2,13.0,6.5,2.0,1.0,0,,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,202609130htx,CookJa01,James Cook,BUF,HOU,13,44.0,3.4,13.0,1.0,1,,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,202609130htx,DaviRa04,Ray Davis,BUF,HOU,1,2.0,2.0,1.0,1.0,0,,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,202609130htx,GoreFr01,Frank Gore Jr.,BUF,HOU,1,3.0,3.0,0.0,0.0,0,,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,202609130clt,TaylJo02,Jonathan Taylor,IND,BAL,19,54.0,2.8,44.0,2.3,1,,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,202609130clt,JackLa00,Lamar Jackson,BAL,IND,7,23.0,3.3,17.0,2.4,0,,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,202609130jax,TuteBh00,Bhayshul Tuten,JAX,CLE,15,16.0,1.1,50.0,3.3,1,,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,202609130jax,LawrTr00,Trevor Lawrence,JAX,CLE,2,3.0,1.5,0.0,0.0,0,,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,202609130jax,MeyeJa01,Jakobi Meyers,JAX,CLE,1,2.0,2.0,0.0,0.0,0,,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,202609130jax,WatsDe00,Deshaun Watson,CLE,JAX,6,26.0,4.3,12.0,2.0,0,,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,202609130pit,DowdRi01,Rico Dowdle,PIT,ATL,8,11.0,1.4,4.0,0.5,0,,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,202609130pit,RobiBi01,Bijan Robinson,ATL,PIT,21,33.0,1.6,50.0,2.4,5,,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,202609130pit,RobiBr01,Brian Robinson Jr.,ATL,PIT,9,11.0,1.2,20.0,2.2,1,,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,202609130oti,SpeaTy00,Tyjae Spears,TEN,NYJ,3,7.0,2.3,5.0,1.7,0,,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,202609130oti,AlleBr05,Braelon Allen,NYJ,TEN,10,14.0,1.4,26.0,2.6,4,,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,202609130oti,SmitGe00,Geno Smith,NYJ,TEN,6,6.0,1.0,1.0,0.2,0,,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,202609130sdg,HampOm00,Omarion Hampton,LAC,ARI,12,18.0,1.5,25.0,2.1,6,,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,202609130sdg,HerbJu00,Justin Herbert,LAC,ARI,5,27.0,5.4,2.0,0.4,0,,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,202609130sdg,LoveJe00,Jeremiyah Love,ARI,LAC,11,15.0,1.4,26.0,2.4,1,,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,202609130sdg,BrisJa00,Jacoby Brissett,ARI,LAC,6,12.0,2.0,2.0,0.3,0,,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,202609130rai,JeanAs00,Ashton Jeanty,LV,MIA,23,45.0,2.0,57.0,2.5,4,,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,202609130rai,CousKi00,Kirk Cousins,LV,MIA,5,-6.0,-1.2,0.0,0.0,0,,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,202609130rai,WillMa12,Malik Willis,MIA,LV,6,37.0,6.2,2.0,0.3,0,,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,202609130rai,WrigJa04,Jaylen Wright,MIA,LV,1,-1.0,-1.0,0.0,0.0,0,,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,202609130min,WentCa00,Carson Wentz,MIN,GB,5,-3.0,-0.6,2.0,0.4,0,,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,202609130min,LloyMa00,MarShawn Lloyd,GB,MIN,13,24.0,1.8,13.0,1.0,0,,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,202609130min,LoveJo03,Jordan Love,GB,MIN,1,0.0,0.0,0.0,0.0,0,,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,202609130phi,BarkSa00,Saquon Barkley,PHI,WAS,15,20.0,1.3,63.0,4.2,1,,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,202609130phi,AlleKa01,Kaytron Allen,WAS,PHI,4,9.0,2.3,7.0,1.8,0,,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,202609130nyg,DartJa00,Jaxson Dart,NYG,DAL,11,46.0,4.2,8.0,0.7,0,,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,202609130nyg,SingDe00,Devin Singletary,NYG,DAL,6,5.0,0.8,11.0,1.8,0,,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,202609130nyg,DemeEm00,Emari Demercado,DAL,NYG,2,0.0,0.0,7.0,3.5,0,,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,202609140kan,DobbJK00,J.K. Dobbins,DEN,KC,8,8.0,1.0,28.0,3.5,0,,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,202609140kan,HarvRJ00,RJ Harvey,DEN,KC,3,11.0,3.7,7.0,2.3,0,,20260925T013701Z
2026,2,REG,2026_02_DET_BUF,202609170buf,CookJa01,James Cook,BUF,DET,21,103.0,4.9,32.0,1.5,1,,20260925T013701Z
2026,2,REG,2026_02_DET_BUF,202609170buf,GibbJa01,Jahmyr Gibbs,DET,BUF,16,30.0,1.9,22.0,1.4,6,,20260925T013701Z
2026,2,REG,2026_02_DET_BUF,202609170buf,GoffJa00,Jared Goff,DET,BUF,3,7.0,2.3,0.0,0.0,0,,20260925T013701Z
2026,2,REG,2026_02_CAR_ATL,202609200atl,RobiBr01,Brian Robinson Jr.,ATL,CAR,11,31.0,2.8,20.0,1.8,0,,20260925T013701Z
2026,2,REG,2026_02_CAR_ATL,202609200atl,LondDr00,Drake London,ATL,CAR,1,-2.0,-2.0,0.0,0.0,0,,20260925T013701Z
2026,2,REG,2026_02_CAR_ATL,202609200atl,HubbCh01,Chuba Hubbard,CAR,ATL,12,40.0,3.3,13.0,1.1,2,,20260925T013701Z
2026,2,REG,2026_02_CAR_ATL,202609200atl,BrooJo02,Jonathon Brooks,CAR,ATL,5,16.0,3.2,0.0,0.0,0,,20260925T013701Z
2026,2,REG,2026_02_CAR_ATL,202609200atl,PickKe00,Kenny Pickett,CAR,ATL,1,-4.0,-4.0,0.0,0.0,0,,20260925T013701Z
2026,2,REG,2026_02_CAR_ATL,202609200atl,YounBr01,Bryce Young,CAR,ATL,1,6.0,6.0,0.0,0.0,0,,20260925T013701Z
2026,2,REG,2026_02_NO_BAL,202609200rav,HenrDe00,Derrick Henry,BAL,NO,16,34.0,2.1,34.0,2.1,4,,20260925T013701Z
2026,2,REG,2026_02_NO_BAL,202609200rav,JackLa00,Lamar Jackson,BAL,NO,4,19.0,4.8,15.0,3.8,3,,20260925T013701Z
2026,2,REG,2026_02_NO_BAL,202609200rav,HillJu00,Justice Hill,BAL,NO,2,6.0,3.0,0.0,0.0,0,,20260925T013701Z
2026,2,REG,2026_02_NO_BAL,202609200rav,ShouTy00,Tyler Shough,NO,BAL,9,2.0,0.2,21.0,2.3,2,,20260925T013701Z
2026,2,REG,2026_02_NO_BAL,202609200rav,DonaCJ00,CJ Donaldson,NO,BAL,1,2.0,2.0,0.0,0.0,0,,20260925T013701Z
2026,2,REG,2026_02_MIN_CHI,202609200chi,MonaKy00,Kyle Monangai,CHI,MIN,10,27.0,2.7,20.0,2.0,1,,20260925T013701Z
2026,2,REG,2026_02_MIN_CHI,202609200chi,WillCa03,Caleb Williams,CHI,MIN,5,34.0,6.8,8.0,1.6,1,,20260925T013701Z
2026,2,REG,2026_02_CIN_HOU,202609200htx,NoelJa00,Jaylin Noel,HOU,CIN,1,6.0,6.0,7.0,7.0,0,,20260925T013701Z
2026,2,REG,2026_02_CIN_HOU,202609200htx,BrowCh10,Chase Brown,CIN,HOU,20,42.0,2.1,38.0,1.9,2,,20260925T013701Z
2026,2,REG,2026_02_CIN_HOU,202609200htx,BurrJo01,Joe Burrow,CIN,HOU,1,-1.0,-1.0,0.0,0.0,0,,20260925T013701Z
2026,2,REG,2026_02_PIT_NE,202609200nwe,DowdRi01,Rico Dowdle,PIT,NE,7,15.0,2.1,7.0,1.0,0,,20260925T013701Z
2026,2,REG,2026_02_PIT_NE,202609200nwe,HomeTr00,Travis Homer,PIT,NE,2,10.0,5.0,6.0,3.0,0,,20260925T013701Z
2026,2,REG,2026_02_GB_NYJ,202609200nyj,AlleBr05,Braelon Allen,NYJ,GB,5,6.0,1.2,1.0,0.2,0,,20260925T013701Z
2026,2,REG,2026_02_GB_NYJ,202609200nyj,LloyMa00,MarShawn Lloyd,GB,NYJ,6,13.0,2.2,7.0,1.2,1,,20260925T013701Z
2026,2,REG,2026_02_GB_NYJ,202609200nyj,BrooCh00,Chris Brooks,GB,NYJ,4,6.0,1.5,5.0,1.3,0,,20260925T013701Z
2026,2,REG,2026_02_CLE_TB,202609200tam,MayfBa00,Baker Mayfield,TB,CLE,4,18.0,4.5,11.0,2.8,0,,20260925T013701Z
2026,2,REG,2026_02_CLE_TB,202609200tam,GainKe00,Kenneth Gainwell,TB,CLE,2,-1.0,-0.5,11.0,5.5,1,,20260925T013701Z
2026,2,REG,2026_02_CLE_TB,202609200tam,EgbuEm01,Emeka Egbuka,TB,CLE,1,-3.0,-3.0,0.0,0.0,0,,20260925T013701Z
2026,2,REG,2026_02_CLE_TB,202609200tam,SandRa00,Raheim Sanders,CLE,TB,2,0.0,0.0,4.0,2.0,0,,20260925T013701Z
2026,2,REG,2026_02_CLE_TB,202609200tam,ConcKC00,KC Concepcion,CLE,TB,1,-6.0,-6.0,0.0,0.0,0,,20260925T013701Z
