season,week,season_type,game_id,player_id,team,opponent_team,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,racr,target_share,air_yards_share,wopr,ingest_run_id
2026,1,REG,2026_01_ATL_PIT,00-0023459,PIT,ATL,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0025565,ATL,PIT,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,00-0026190,BAL,IND,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,1,REG,2026_01_SF_LA,00-0026498,LA,SF,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0027969,PIT,ATL,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,00-0029604,LV,MIA,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,00-0029606,MIN,GB,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,00-0029607,NYJ,TEN,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,00-0029692,DAL,NYG,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,00-0029714,MIN,GB,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,00-0030092,CAR,CHI,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,00-0030140,WAS,PHI,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,00-0030279,IND,BAL,6,6,32,0,0,0,22,10.0,1,-0.00896294851554558,0,0,0,0,0,1.45454545454545,0.206896551724138,0.109452736318408,0.386961743009092,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,00-0030294,LAC,ARI,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,00-0030506,KC,DEN,3,5,71,0,0,0,29,63.0,2,4.96814065461513,0,1,1,1,1,2.44827586206897,0.2,0.218045112781955,0.452631578947368,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,00-0030565,NYJ,TEN,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,00-0031040,LAC,ARI,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0031136,PIT,ATL,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,00-0031203,CHI,CAR,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0031279,ATL,PIT,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,00-0031330,NE,SEA,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,00-0031360,MIN,GB,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,00-0031364,HOU,BUF,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,1,REG,2026_01_SF_LA,00-0031381,LA,SF,3,6,26,0,0,0,73,9.0,1,-1.70472908939701,0,2,0,0,0,0.356164383561644,0.222222222222222,0.286274509803922,0.533725490196078,20260925T013701Z
