season,week,season_type,game_id,player_id,team,opponent_team,touches,scrimmage_yards,scrimmage_tds,yards_per_touch,scrimmage_first_downs,scrimmage_fumbles,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,ingest_run_id
2026,1,REG,2026_01_ATL_PIT,00-0023459,PIT,ATL,3,-3,0,-1.0,0,0,3,-3,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0025565,ATL,PIT,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,00-0026190,BAL,IND,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_SF_LA,00-0026498,LA,SF,2,-1,0,-0.5,0,0,2,-1,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0027969,PIT,ATL,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,00-0029604,LV,MIA,5,-6,0,-1.2,0,0,5,-6,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,00-0029606,MIN,GB,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,00-0029607,NYJ,TEN,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,00-0029692,DAL,NYG,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,00-0029714,MIN,GB,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,00-0030092,CAR,CHI,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,00-0030140,WAS,PHI,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,00-0030279,IND,BAL,6,32,0,5.3333,1,0,0,0,0,6,6,32,0,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,00-0030294,LAC,ARI,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,00-0030506,KC,DEN,3,71,0,23.6667,2,0,0,0,0,3,5,71,0,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,00-0030565,NYJ,TEN,6,7,0,1.1667,0,1,6,7,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,00-0031040,LAC,ARI,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0031136,PIT,ATL,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,00-0031203,CHI,CAR,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0031279,ATL,PIT,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,00-0031330,NE,SEA,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,00-0031360,MIN,GB,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,00-0031364,HOU,BUF,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_SF_LA,00-0031381,LA,SF,3,26,0,8.6667,1,0,0,0,0,3,6,26,0,20260925T013701Z
2026,1,REG,2026_01_SF_LA,00-0031408,SF,LA,6,49,1,8.1667,6,0,0,0,0,6,7,49,1,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,00-0031411,SEA,NE,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,00-0031492,SEA,NE,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,00-0031565,HOU,BUF,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0031576,ATL,PIT,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,00-0031583,CHI,CAR,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,00-0031588,WAS,PHI,4,55,1,13.75,4,0,0,0,0,4,9,55,1,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,00-0031610,CAR,CHI,2,28,0,14.0,2,0,0,0,0,2,2,28,0,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,00-0031898,DEN,KC,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,00-0031933,SEA,NE,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_TB_CIN,00-0031957,TB,CIN,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,00-0032065,MIA,LV,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,00-0032071,HOU,BUF,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,00-0032104,JAX,CLE,5,32,0,6.4,1,0,4,32,0,1,1,0,0,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,00-0032146,LAC,ARI,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,00-0032164,JAX,CLE,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,00-0032265,HOU,BUF,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,00-0032378,IND,BAL,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,00-0032387,SEA,NE,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,00-0032398,BAL,IND,1,53,0,53.0,1,0,0,0,0,1,2,53,0,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,00-0032424,NYG,DAL,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,00-0032464,CHI,CAR,8,84,0,10.5,5,0,0,0,0,8,9,84,0,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,00-0032569,DEN,KC,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_SF_LA,00-0032701,SF,LA,1,2,0,2.0,0,0,0,0,0,1,1,2,0,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,00-0032726,HOU,BUF,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,00-0032753,IND,BAL,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,00-0032759,HOU,BUF,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,00-0032762,KC,DEN,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,00-0032764,BAL,IND,25,163,3,6.52,8,0,24,144,3,1,1,19,0,20260925T013701Z
2026,1,REG,2026_01_SF_LA,00-0032775,SF,LA,2,50,1,25.0,2,0,0,0,0,2,3,50,1,20260925T013701Z
2026,1,REG,2026_01_TB_CIN,00-0032889,TB,CIN,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,00-0032950,MIN,GB,5,-1,0,-0.2,1,0,5,-1,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,00-0032951,IND,BAL,0,0,0,,0,0,0,0,0,0,1,0,0,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,00-0032965,BAL,IND,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,00-0033038,JAX,CLE,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,00-0033051,NYJ,TEN,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0033055,PIT,ATL,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,00-0033077,DAL,NYG,2,14,0,7.0,1,0,2,14,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,00-0033090,NE,SEA,3,26,0,8.6667,1,0,0,0,0,3,3,26,0,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,00-0033093,DAL,NYG,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NO_DET,00-0033106,DET,NO,2,2,0,1.0,0,1,2,2,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,00-0033109,GB,MIN,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_SF_LA,00-0033110,LA,SF,2,12,0,6.0,0,1,0,0,0,2,2,12,0,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,00-0033119,ARI,LAC,6,14,0,2.3333,3,0,6,14,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,00-0033120,DAL,NYG,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,00-0033131,CLE,JAX,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,00-0033132,NE,SEA,0,0,0,,0,0,0,0,0,0,0,0,0,20260925T013701Z
