season,team,player_id,player_name,position,games,spine_metric,usage_index_score,stress_score,redzone_score,share_score,depth_score,return_score,share_calm,share_stress,confidence_delta,spine_opps_stress,team_spine_opps_stress,usage_role,spine_opps,team_spine_opps,share_overall,usage_rank_on_team,usage_rank_in_pos_group,depth_pos,depth_rank,depth_surplus,depth_as_of_week,opp_i20,opp_i10,opp_i5,opp_g2g,team_opp_i20,pct_i20_intra,pct_i20_shrunk,td_i20,td_i5,touches,yards_per_touch,scrimmage_yards,scrimmage_yards_share_intra,scrimmage_tds
2026,DET,00-0036963,A.St. Brown,WR,2,targets,81.7,100.0,57.4,100.0,50.0,75.3,0.2391,0.5161,0.277,16,31,PRIMARY -- TRUSTED UNDER PRESSURE,27,77,0.3506,2,1,WR,1,0,18,6,3,2,2,27,0.2222,0.1935,3,2,19,11.0,209,0.2736,4
2026,SEA,00-0038543,J.Smith-Njigba,WR,2,targets,78.0,87.8,46.8,100.0,50.0,98.6,0.3448,0.5714,0.2266,12,21,PRIMARY -- TRUSTED UNDER PRESSURE,22,50,0.44,3,1,WR,1,0,18,6,3,0,1,27,0.2222,0.1935,2,0,17,16.29,277,0.3991,4
2026,ARI,00-0037744,T.McBride,TE,2,targets,77.6,81.8,87.1,100.0,50.0,38.8,0.2895,0.48,0.1905,12,25,PRIMARY -- TRUSTED UNDER PRESSURE,23,63,0.3651,1,1,TE,1,0,18,6,4,2,3,18,0.3333,0.2727,2,2,17,8.0,136,0.2437,2
2026,DEN,00-0041496,J.Coleman,RB,1,rush_attempts,75.4,100.0,44.6,100.0,66.7,30.0,0.0833,0.5625,0.4792,9,16,RISING -- OUT-EARNING DEPTH CHART,10,28,0.3571,3,2,RB,3,1,18,3,2,1,2,17,0.1765,0.1429,1,1,13,4.46,58,0.148,1
2026,IND,00-0036223,J.Taylor,RB,2,rush_attempts,74.6,55.2,100.0,100.0,50.0,65.4,0.8667,0.8947,0.0281,17,19,ROTATIONAL CONTRIBUTOR,43,49,0.8776,1,1,RB,1,0,18,10,6,5,5,18,0.5556,0.4545,3,3,50,5.06,253,0.4238,4
2026,SEA,00-0038797,E.Wilson,RB,2,rush_attempts,73.6,67.3,88.7,100.0,50.0,43.3,0.3333,0.44,0.1067,11,25,PRIMARY -- TRUSTED UNDER PRESSURE,23,61,0.377,2,2,RB,2,0,18,8,5,4,5,27,0.2963,0.2581,0,0,23,4.13,95,0.1369,0
2026,BUF,00-0034857,J.Allen,QB,2,rush_attempts_qb,72.4,99.5,68.3,78.4,50.0,15.5,0.1379,0.4545,0.3166,10,22,PRIMARY -- TRUSTED UNDER PRESSURE,14,51,0.2745,3,1,QB,1,0,18,5,3,3,3,20,0.25,0.2083,3,3,20,4.6,92,0.1056,4
2026,CAR,00-0036555,C.Hubbard,RB,2,rush_attempts,71.9,71.4,83.6,100.0,50.0,26.7,0.5,0.6429,0.1429,9,14,PRIMARY -- TRUSTED UNDER PRESSURE,22,40,0.55,1,1,RB,1,0,18,8,7,3,5,30,0.2667,0.2353,3,3,27,5.59,151,0.1795,3
2026,MIN,00-0036322,J.Jefferson,WR,2,targets,71.6,65.8,62.7,100.0,50.0,78.6,0.3158,0.4167,0.1009,10,24,PRIMARY -- TRUSTED UNDER PRESSURE,16,43,0.3721,2,1,WR,1,0,18,4,2,1,0,15,0.2667,0.2105,1,0,11,13.36,147,0.2827,2
2026,SF,00-0033280,C.McCaffrey,RB,2,rush_attempts,71.6,62.8,96.5,100.0,33.3,41.9,0.359,0.4615,0.1026,6,13,PRIMARY -- TRUSTED UNDER PRESSURE,20,52,0.3846,2,2,RB,1,-1,18,8,5,4,5,22,0.3636,0.3077,2,2,29,5.31,154,0.2024,2
2026,CHI,00-0036275,D.Swift,RB,2,rush_attempts,71.0,51.2,100.0,100.0,50.0,46.3,0.5641,0.5714,0.0073,12,21,ROTATIONAL CONTRIBUTOR,34,60,0.5667,1,1,RB,1,0,18,9,6,4,5,25,0.36,0.3103,2,2,40,5.83,233,0.263,3
2026,DET,00-0039139,J.Gibbs,RB,2,rush_attempts,70.6,43.6,100.0,100.0,50.0,64.7,0.9118,0.875,-0.0368,14,16,ROTATIONAL CONTRIBUTOR,45,50,0.9,1,1,RB,1,0,18,13,6,5,3,27,0.4815,0.4194,3,2,56,5.34,299,0.3914,3
2026,LA,00-0037840,K.Williams,RB,2,rush_attempts,70.1,50.6,100.0,100.0,50.0,40.9,0.4167,0.4211,0.0044,8,19,ROTATIONAL CONTRIBUTOR,23,55,0.4182,1,1,RB,1,0,18,7,5,2,4,16,0.4375,0.35,2,1,28,5.79,162,0.2077,2
2026,HOU,00-0035685,D.Montgomery,RB,2,rush_attempts,70.1,55.7,100.0,100.0,50.0,26.0,0.5517,0.5882,0.0365,10,17,ROTATIONAL CONTRIBUTOR,26,46,0.5652,1,1,RB,1,0,18,7,5,3,5,15,0.4667,0.3684,3,1,31,3.32,103,0.127,3
2026,KC,00-0038134,K.Walker,RB,2,rush_attempts,69.6,42.6,100.0,100.0,50.0,58.9,0.7879,0.75,-0.0379,21,28,ROTATIONAL CONTRIBUTOR,47,61,0.7705,1,1,RB,1,0,18,11,6,5,6,25,0.44,0.3793,1,1,56,6.59,369,0.3934,2
2026,GB,00-0038124,C.Watson,WR,2,targets,67.3,71.5,56.6,78.7,50.0,73.2,0.2195,0.3571,0.1376,10,28,PRIMARY -- TRUSTED UNDER PRESSURE,19,69,0.2754,1,1,WR,1,0,18,3,2,2,2,18,0.1667,0.1364,2,2,10,18.8,188,0.2844,3
2026,PHI,00-0036912,D.Smith,WR,2,targets,65.5,84.7,18.2,96.9,50.0,61.1,0.2308,0.4333,0.2026,13,30,PRIMARY -- TRUSTED UNDER PRESSURE,19,56,0.3393,1,1,WR,1,0,18,1,1,0,1,16,0.0625,0.05,0,0,13,13.08,170,0.2457,1
2026,NYG,00-0040715,C.Skattebo,RB,2,rush_attempts,65.5,51.8,78.4,100.0,50.0,39.0,0.5313,0.5417,0.0104,13,24,ROTATIONAL CONTRIBUTOR,30,56,0.5357,1,1,RB,1,0,18,5,3,2,2,17,0.2941,0.2381,1,1,34,4.0,136,0.2353,1
2026,BAL,00-0032764,D.Henry,RB,2,rush_attempts,65.4,37.7,100.0,100.0,50.0,37.9,0.7941,0.7222,-0.0719,13,18,VOLUME ONLY -- BENCHED WHEN IT TIGHTENS,40,52,0.7692,1,1,RB,1,0,18,11,7,3,7,17,0.6471,0.5238,3,3,44,5.68,250,0.2877,4
2026,DAL,00-0036997,J.Williams,RB,2,rush_attempts,64.8,39.0,100.0,100.0,50.0,29.5,0.7368,0.6667,-0.0702,10,15,VOLUME ONLY -- BENCHED WHEN IT TIGHTENS,24,34,0.7059,1,1,RB,1,0,18,9,4,4,4,19,0.4737,0.3913,2,1,32,3.81,122,0.2071,2
2026,CIN,00-0038597,C.Brown,RB,2,rush_attempts,64.8,39.7,96.6,100.0,50.0,34.1,0.7586,0.7,-0.0586,14,20,VOLUME ONLY -- BENCHED WHEN IT TIGHTENS,36,49,0.7347,1,1,RB,1,0,18,7,3,3,2,18,0.3889,0.3182,1,1,44,3.64,160,0.2454,1
2026,GB,00-0038685,C.Brooks,RB,2,rush_attempts,64.6,90.4,42.8,80.6,50.0,19.6,0.2,0.5556,0.3556,5,9,PRIMARY -- TRUSTED UNDER PRESSURE,11,39,0.2821,4,2,RB,2,0,18,4,2,0,2,18,0.2222,0.1818,0,0,12,4.58,55,0.0832,0
2026,LV,00-0040122,A.Jeanty,RB,2,rush_attempts,64.0,28.5,100.0,100.0,50.0,52.5,0.7317,0.6087,-0.123,14,23,VOLUME ONLY -- BENCHED WHEN IT TIGHTENS,44,64,0.6875,1,1,RB,1,0,18,13,4,4,5,22,0.5909,0.5,2,0,54,3.89,210,0.35,2
2026,NO,00-0036040,J.Johnson,TE,2,targets,62.9,94.5,41.6,37.0,50.0,68.3,0.0,0.275,0.275,11,40,"CLOSER -- SMALL ROLE, BIG MOMENTS",11,85,0.1294,4,1,TE,1,0,18,4,3,0,3,22,0.1818,0.1538,1,0,7,17.14,120,0.1467,1
2026,DAL,00-0036358,C.Lamb,WR,2,targets,62.0,55.5,46.2,79.6,50.0,91.8,0.2632,0.3043,0.0412,7,23,ROTATIONAL CONTRIBUTOR,17,61,0.2787,2,1,WR,1,0,18,3,2,2,2,19,0.1579,0.1304,2,2,14,14.07,197,0.3345,3
2026,WAS,00-0031588,S.Diggs,WR,2,targets,62.0,76.7,38.6,67.0,66.7,50.0,0.1515,0.3226,0.1711,10,31,RISING -- OUT-EARNING DEPTH CHART,15,64,0.2344,2,1,WR,2,1,18,4,2,1,1,24,0.1667,0.1429,3,1,9,11.33,102,0.1489,3
2026,TEN,00-0040170,E.Ayomanor,WR,2,targets,61.5,85.7,38.2,38.1,66.7,69.5,0.0,0.2857,0.2857,6,21,RISING -- OUT-EARNING DEPTH CHART,6,45,0.1333,6,3,WR,4,1,18,3,1,1,1,16,0.1875,0.15,1,0,3,26.67,80,0.1559,1
2026,PHI,00-0038393,D.Wicks,WR,2,targets,61.4,89.2,26.0,51.0,50.0,76.6,0.0385,0.3,0.2615,9,30,PRIMARY -- TRUSTED UNDER PRESSURE,10,56,0.1786,4,2,WR,2,0,18,2,1,0,0,16,0.125,0.1,1,0,7,21.0,147,0.2124,1
2026,MIN,00-0037525,J.Mason,RB,1,rush_attempts,61.3,37.5,62.7,100.0,83.3,39.8,0.5263,0.4167,-0.1096,5,12,RISING -- OUT-EARNING DEPTH CHART,15,31,0.4839,3,2,RB,4,2,18,4,2,1,1,15,0.2667,0.2105,1,1,15,3.93,59,0.2287,1
2026,NYG,00-0037838,I.Likely,TE,2,targets,61.1,66.5,46.1,84.3,50.0,46.0,0.25,0.36,0.11,9,25,PRIMARY -- TRUSTED UNDER PRESSURE,18,61,0.2951,2,1,TE,1,0,18,4,1,1,1,17,0.2353,0.1905,2,1,13,8.54,111,0.192,2
2026,WAS,00-0037256,R.White,RB,2,rush_attempts,60.3,81.9,38.6,74.1,50.0,26.2,0.1765,0.4,0.2235,8,20,PRIMARY -- TRUSTED UNDER PRESSURE,14,54,0.2593,3,2,RB,2,0,18,4,2,1,1,24,0.1667,0.1429,0,0,22,5.0,110,0.1606,0
2026,ARI,00-0041027,J.Love,RB,2,rush_attempts,59.1,48.5,72.1,100.0,33.3,22.6,0.4118,0.4,-0.0118,6,15,ROTATIONAL CONTRIBUTOR,20,49,0.4082,3,2,RB,1,-1,18,6,3,1,3,18,0.3333,0.2727,1,1,25,3.8,95,0.1703,1
2026,LA,00-0039075,P.Nacua,WR,1,targets,58.8,67.0,21.5,95.2,33.3,68.9,0.2667,0.4167,0.15,5,12,PRIMARY -- TRUSTED UNDER PRESSURE,9,27,0.3333,5,2,WR,1,-1,18,1,1,1,1,16,0.0625,0.05,0,0,5,14.8,74,0.2552,0
2026,TEN,00-0035261,T.Pollard,RB,2,rush_attempts,58.8,41.8,69.4,100.0,50.0,27.8,0.5909,0.5333,-0.0576,8,15,ROTATIONAL CONTRIBUTOR,21,37,0.5676,1,1,RB,1,0,18,5,3,1,4,16,0.3125,0.25,0,0,23,4.3,99,0.193,0
2026,GB,00-0040667,M.Golden,WR,2,targets,58.5,65.3,28.5,74.5,66.7,59.5,0.2195,0.3214,0.1019,9,28,RISING -- OUT-EARNING DEPTH CHART,18,69,0.2609,3,2,WR,3,1,18,3,1,0,1,18,0.1667,0.1364,0,0,10,15.3,153,0.2315,0
2026,CLE,00-0041037,D.Boston,WR,2,targets,58.1,69.5,38.0,60.4,33.3,83.5,0.1622,0.3333,0.1712,5,15,PRIMARY -- TRUSTED UNDER PRESSURE,11,52,0.2115,3,2,WR,1,-1,18,2,1,0,0,10,0.2,0.1429,0,0,7,22.0,154,0.2683,2
2026,DEN,00-0036613,J.Waddle,WR,2,targets,57.8,80.9,7.4,66.3,50.0,78.5,0.1471,0.3636,0.2166,8,22,PRIMARY -- TRUSTED UNDER PRESSURE,13,56,0.2321,2,1,WR,1,0,18,1,0,0,0,17,0.0588,0.0476,0,0,9,15.56,140,0.2397,0
