team,season,rank_on_team,player_name,position,spine_metric,depth_pos,depth_rank,depth_surplus,usage_index_score,usage_role,stress_score,redzone_score,share_score,depth_score,return_score,spine_opps,team_spine_opps,share_overall,share_calm,share_stress,confidence_delta,opp_i20,team_opp_i20,yards_per_touch,scrimmage_yards
ARI,2026,1,T.McBride,TE,targets,TE,1,0,77.6,PRIMARY -- TRUSTED UNDER PRESSURE,81.8,87.1,100.0,50.0,38.8,23,63,0.3651,0.2895,0.48,0.1905,6,18,8.0,136
ARI,2026,2,J.Love,RB,rush_attempts,RB,1,-1,59.1,ROTATIONAL CONTRIBUTOR,48.5,72.1,100.0,33.3,22.6,20,49,0.4082,0.4118,0.4,-0.0118,6,18,3.8,95
ARI,2026,3,T.Allgeier,RB,rush_attempts,RB,2,1,54.0,RISING -- OUT-EARNING DEPTH CHART,41.2,43.4,100.0,66.7,20.6,22,49,0.449,0.4706,0.4,-0.0706,4,18,3.42,89
ARI,2026,4,Mi.Wilson,WR,targets,WR,1,0,43.6,PRIMARY -- TRUSTED UNDER PRESSURE,62.9,0.0,63.5,50.0,29.2,14,63,0.2222,0.1842,0.28,0.0958,,,10.57,74
ARI,2026,5,J.Brissett,QB,rush_attempts_qb,QB,1,0,41.4,PRIMARY -- TRUSTED UNDER PRESSURE,67.8,14.3,43.3,50.0,4.7,5,33,0.1515,0.087,0.3,0.213,1,18,3.0,21
ARI,2026,6,K.Bourne,WR,targets,WR,3,1,39.2,RISING -- OUT-EARNING DEPTH CHART,47.6,7.1,49.9,66.7,28.6,11,63,0.1746,0.1842,0.16,-0.0242,1,18,8.6,86
ARI,2026,7,Z.Knight,RB,rush_attempts,RB,3,0,34.1,INSUFFICIENT SAMPLE,50.0,0.0,35.7,50.0,33.2,2,16,0.125,0.1818,0.0,-0.1818,,,12.0,24
ARI,2026,8,M.Harrison,WR,targets,WR,2,-1,31.9,INSUFFICIENT SAMPLE,50.0,0.0,18.1,33.3,60.5,4,63,0.0635,0.1053,0.0,-0.1053,,,33.0,33
ATL,2026,1,Bi.Robinson,RB,rush_attempts,RB,1,0,52.4,ROTATIONAL CONTRIBUTOR,55.8,0.0,100.0,50.0,62.1,37,59,0.6271,0.62,0.6667,0.0467,,,5.29,254
ATL,2026,2,Br.Robinson,RB,rush_attempts,RB,2,0,42.3,ROTATIONAL CONTRIBUTOR,41.4,0.0,96.9,50.0,23.7,20,59,0.339,0.36,0.2222,-0.1378,,,4.45,98
ATL,2026,3,D.London,WR,targets,WR,1,0,41.9,ROTATIONAL CONTRIBUTOR,58.4,0.0,51.4,50.0,48.1,9,50,0.18,0.1515,0.2353,0.0838,,,10.5,84
ATL,2026,4,A.Hooper,TE,targets,TE,3,2,40.4,INSUFFICIENT SAMPLE,55.1,0.0,36.9,83.3,35.5,4,31,0.129,0.1,0.1818,0.0818,,,10.0,20
ATL,2026,5,J.Dotson,WR,targets,WR,2,0,34.4,ROTATIONAL CONTRIBUTOR,47.9,0.0,40.0,50.0,33.9,7,50,0.14,0.1515,0.1176,-0.0339,,,10.0,30
