season,team,player_id,player_name,position,games,spine_metric,spine_opps,team_spine_opps,share_overall,spine_opps_stress,team_spine_opps_stress,share_stress,spine_opps_calm,team_spine_opps_calm,share_calm,confidence_delta,depth_pos,depth_rank,depth_as_of_week,opp_i20,opp_i10,opp_i5,opp_g2g,td_i20,td_i5,team_opp_i20,pct_i20_intra,pct_i20_shrunk,pct_i10_shrunk,pct_i5_shrunk,pct_g2g_shrunk,touches,scrimmage_yards,yards_per_touch,scrimmage_yards_share_intra,scrimmage_tds,usage_rank_on_team,usage_rank_in_pos_group
2026,ARI,00-0038559,Mi.Wilson,WR,2,targets,14,63,0.2222,7,25,0.28,7,38,0.1842,0.0958,WR,1,18,,,,,,,,,,,,,7,74,10.57,0.1326,0,4,1
2026,ARI,00-0033307,K.Bourne,WR,2,targets,11,63,0.1746,4,25,0.16,7,38,0.1842,-0.0242,WR,3,18,1,0,0,0,0,0,18,0.0556,0.0455,0.0,0.0,0.0,10,86,8.6,0.1541,0,5,2
2026,ARI,00-0039849,M.Harrison,WR,2,targets,4,63,0.0635,0,25,0.0,4,38,0.1053,-0.1053,WR,2,18,,,,,,,,,,,,,1,33,33.0,0.084,0,7,3
2026,DEN,00-0036613,J.Waddle,WR,2,targets,13,56,0.2321,8,22,0.3636,5,34,0.1471,0.2166,WR,1,18,1,0,0,0,0,0,17,0.0588,0.0476,0.0,0.0,0.0,9,140,15.56,0.2397,0,2,1
2026,DEN,00-0034348,C.Sutton,WR,2,targets,9,56,0.1607,4,22,0.1818,5,34,0.1471,0.0348,WR,2,18,2,1,0,2,0,0,17,0.1176,0.0952,0.0769,0.0,0.1333,5,36,7.2,0.0616,0,4,2
2026,DEN,00-0040134,P.Bryant,WR,2,targets,7,56,0.125,2,22,0.0909,5,34,0.1471,-0.0561,WR,4,18,,,,,,,,,,,,,5,58,11.6,0.0993,0,6,3
2026,DEN,00-0039868,T.Franklin,WR,2,targets,3,56,0.0536,2,22,0.0909,1,34,0.0294,0.0615,WR,5,18,1,1,0,1,0,0,17,0.0588,0.0476,0.0769,0.0,0.0667,2,32,16.0,0.0548,0,8,4
2026,DEN,00-0035406,L.Humphrey,WR,1,targets,1,29,0.0345,0,11,0.0,1,18,0.0556,-0.0556,WR,6,18,,,,,,,,,,,,,,,,,,13,5
2026,NO,00-0040743,T.Shough,QB,2,rush_attempts_qb,9,49,0.1837,6,23,0.2609,3,26,0.1154,0.1455,QB,1,18,5,2,2,2,1,1,22,0.2273,0.1923,0.125,0.2222,0.1429,13,31,2.38,0.0379,1,5,1
2026,NYG,00-0037838,I.Likely,TE,2,targets,18,61,0.2951,9,25,0.36,9,36,0.25,0.11,TE,1,18,4,1,1,1,2,1,17,0.2353,0.1905,0.0909,0.125,0.1429,13,111,8.54,0.192,2,2,1
