season,team,player_id,player_name,position,spine_metric,usage_index_score,usage_role,share_overall,share_calm,share_stress,confidence_delta,opp_i20,opp_i10,opp_i5,opp_g2g,pct_i20_shrunk,tds,tds_red_zone,tds_goal_to_go,tds_rush,tds_rec,games_with_td,td_per_redzone_opp,correlation_flag
2026,DET,00-0036963,A.St. Brown,WR,targets,81.7,PRIMARY -- TRUSTED UNDER PRESSURE,0.3506,0.2391,0.5161,0.277,6,3,2,2,0.1935,4,3,1,0,4,2,0.5,AGREEMENT -- trusted and finishing
2026,SEA,00-0038543,J.Smith-Njigba,WR,targets,78.0,PRIMARY -- TRUSTED UNDER PRESSURE,0.44,0.3448,0.5714,0.2266,6,3,0,1,0.1935,4,2,1,0,4,2,0.333,AGREEMENT -- trusted and finishing
2026,ARI,00-0037744,T.McBride,TE,targets,77.6,PRIMARY -- TRUSTED UNDER PRESSURE,0.3651,0.2895,0.48,0.1905,6,4,2,3,0.2727,2,2,2,0,2,2,0.333,AGREEMENT -- trusted and finishing
2026,DEN,00-0041496,J.Coleman,RB,rush_attempts,75.4,RISING -- OUT-EARNING DEPTH CHART,0.3571,0.0833,0.5625,0.4792,3,2,1,2,0.1429,1,1,1,1,0,1,0.333,"AGREEMENT -- trusted, finishing lightly"
2026,IND,00-0036223,J.Taylor,RB,rush_attempts,74.6,ROTATIONAL CONTRIBUTOR,0.8776,0.8667,0.8947,0.0281,10,6,5,5,0.4545,4,3,2,4,0,2,0.3,AGREEMENT -- trusted and finishing
2026,SEA,00-0038797,E.Wilson,RB,rush_attempts,73.6,PRIMARY -- TRUSTED UNDER PRESSURE,0.377,0.3333,0.44,0.1067,8,5,4,5,0.2581,0,0,0,0,0,0,0.0,"OPPORTUNITY -- trusted, has not cashed yet"
2026,BUF,00-0034857,J.Allen,QB,rush_attempts_qb,72.4,PRIMARY -- TRUSTED UNDER PRESSURE,0.2745,0.1379,0.4545,0.3166,5,3,3,3,0.2083,4,3,3,4,0,2,0.6,AGREEMENT -- trusted and finishing
2026,CAR,00-0036555,C.Hubbard,RB,rush_attempts,71.9,PRIMARY -- TRUSTED UNDER PRESSURE,0.55,0.5,0.6429,0.1429,8,7,3,5,0.2353,3,3,2,1,2,2,0.375,AGREEMENT -- trusted and finishing
2026,MIN,00-0036322,J.Jefferson,WR,targets,71.6,PRIMARY -- TRUSTED UNDER PRESSURE,0.3721,0.3158,0.4167,0.1009,4,2,1,0,0.2105,2,1,0,0,2,1,0.25,AGREEMENT -- trusted and finishing
2026,SF,00-0033280,C.McCaffrey,RB,rush_attempts,71.6,PRIMARY -- TRUSTED UNDER PRESSURE,0.3846,0.359,0.4615,0.1026,8,5,4,5,0.3077,2,2,2,2,0,1,0.25,AGREEMENT -- trusted and finishing
2026,CHI,00-0036275,D.Swift,RB,rush_attempts,71.0,ROTATIONAL CONTRIBUTOR,0.5667,0.5641,0.5714,0.0073,9,6,4,5,0.3103,3,2,2,3,0,1,0.222,AGREEMENT -- trusted and finishing
2026,DET,00-0039139,J.Gibbs,RB,rush_attempts,70.6,ROTATIONAL CONTRIBUTOR,0.9,0.9118,0.875,-0.0368,13,6,5,3,0.4194,3,3,2,2,1,2,0.231,AGREEMENT -- trusted and finishing
2026,LA,00-0037840,K.Williams,RB,rush_attempts,70.1,ROTATIONAL CONTRIBUTOR,0.4182,0.4167,0.4211,0.0044,7,5,2,4,0.35,2,2,1,1,1,2,0.286,AGREEMENT -- trusted and finishing
2026,HOU,00-0035685,D.Montgomery,RB,rush_attempts,70.1,ROTATIONAL CONTRIBUTOR,0.5652,0.5517,0.5882,0.0365,7,5,3,5,0.3684,3,3,2,2,1,1,0.429,AGREEMENT -- trusted and finishing
2026,KC,00-0038134,K.Walker,RB,rush_attempts,69.6,ROTATIONAL CONTRIBUTOR,0.7705,0.7879,0.75,-0.0379,11,6,5,6,0.3793,2,1,1,1,1,1,0.091,AGREEMENT -- trusted and finishing
2026,GB,00-0038124,C.Watson,WR,targets,67.3,PRIMARY -- TRUSTED UNDER PRESSURE,0.2754,0.2195,0.3571,0.1376,3,2,2,2,0.1364,3,2,2,0,3,2,0.667,AGREEMENT -- trusted and finishing
2026,PHI,00-0036912,D.Smith,WR,targets,65.5,PRIMARY -- TRUSTED UNDER PRESSURE,0.3393,0.2308,0.4333,0.2026,1,1,0,1,0.05,1,0,0,0,1,1,0.0,"AGREEMENT -- trusted, finishing lightly"
