season,week,game_id,team,opponent,half,points_allowed,ingest_run_id
2026,2,2026_02_LV_LAC,LV,LAC,1,7,20260925T072249Z
2026,2,2026_02_LV_LAC,LAC,LV,2,16,20260925T072249Z
2026,2,2026_02_MIA_SF,MIA,SF,2,21,20260925T072249Z
2026,2,2026_02_MIA_SF,SF,MIA,2,7,20260925T072249Z
2026,2,2026_02_MIN_CHI,CHI,MIN,1,6,20260925T072249Z
2026,2,2026_02_MIN_CHI,MIN,CHI,1,3,20260925T072249Z
2026,2,2026_02_NO_BAL,NO,BAL,1,14,20260925T072249Z
2026,2,2026_02_NO_BAL,BAL,NO,2,18,20260925T072249Z
2026,2,2026_02_NYG_LA,NYG,LA,1,14,20260925T072249Z
2026,2,2026_02_NYG_LA,LA,NYG,2,3,20260925T072249Z
2026,2,2026_02_PHI_TEN,TEN,PHI,1,14,20260925T072249Z
2026,2,2026_02_PHI_TEN,PHI,TEN,2,10,20260925T072249Z
2026,2,2026_02_PIT_NE,NE,PIT,1,3,20260925T072249Z
2026,2,2026_02_PIT_NE,PIT,NE,2,10,20260925T072249Z
2026,2,2026_02_SEA_ARI,SEA,ARI,1,7,20260925T072249Z
2026,2,2026_02_SEA_ARI,ARI,SEA,2,24,20260925T072249Z
2026,2,2026_02_WAS_DAL,DAL,WAS,1,10,20260925T072249Z
2026,2,2026_02_WAS_DAL,WAS,DAL,2,20,20260925T072249Z
2026,1,2026_01_ARI_LAC,LAC,ARI,2,13,20260925T072249Z
2026,1,2026_01_ARI_LAC,ARI,LAC,2,7,20260925T072249Z
2026,1,2026_01_ATL_PIT,PIT,ATL,1,7,20260925T072249Z
2026,1,2026_01_ATL_PIT,ATL,PIT,2,7,20260925T072249Z
2026,1,2026_01_BAL_IND,BAL,IND,2,10,20260925T072249Z
2026,1,2026_01_BAL_IND,IND,BAL,2,10,20260925T072249Z
2026,1,2026_01_BUF_HOU,BUF,HOU,1,21,20260925T072249Z
2026,1,2026_01_BUF_HOU,HOU,BUF,2,12,20260925T072249Z
2026,1,2026_01_CHI_CAR,CHI,CAR,1,24,20260925T072249Z
2026,1,2026_01_CHI_CAR,CAR,CHI,1,31,20260925T072249Z
2026,1,2026_01_CLE_JAX,CLE,JAX,1,24,20260925T072249Z
2026,1,2026_01_DAL_NYG,DAL,NYG,2,14,20260925T072249Z
2026,1,2026_01_DAL_NYG,NYG,DAL,2,13,20260925T072249Z
2026,1,2026_01_DEN_KC,KC,DEN,1,7,20260925T072249Z
2026,1,2026_01_DEN_KC,DEN,KC,2,17,20260925T072249Z
2026,1,2026_01_GB_MIN,GB,MIN,1,10,20260925T072249Z
