season,week,kind,ticket_id,correlation_type,title,leg_index,player_id,player_name,team,market,direction,line,odds,probability,predicted_winner,win_probability,snapshot_at_utc,actual,result,graded_at_utc
2026,3,leg,coaches-son-00-0036555,COACHES_SON,COACHES SON · Chuba Hubbard,0,00-0036555,Chuba Hubbard,CAR,recs,over,2.5,106.0,0.745,,,2026-09-25T21:18:54.857194+00:00,,,
2026,3,leg,coaches-son-00-0036555,COACHES_SON,COACHES SON · Chuba Hubbard,1,00-0036555,Chuba Hubbard,CAR,anytd,over,0.5,-130.0,0.933,,,2026-09-25T21:18:54.857194+00:00,,,
2026,3,leg,coaches-son-00-0038134,COACHES_SON,COACHES SON · Kenneth Walker III,0,00-0038134,Kenneth Walker III,KC,rushrec,over,109.5,-114.0,0.809,,,2026-09-25T21:18:54.857194+00:00,,,
2026,3,leg,coaches-son-00-0038134,COACHES_SON,COACHES SON · Kenneth Walker III,1,00-0038134,Kenneth Walker III,KC,recs,over,3.5,120.0,0.725,,,2026-09-25T21:18:54.857194+00:00,,,
2026,3,leg,coaches-son-00-0038134,COACHES_SON,COACHES SON · Kenneth Walker III,2,00-0038134,Kenneth Walker III,KC,anytd,over,0.5,-220.0,0.829,,,2026-09-25T21:18:54.857194+00:00,,,
2026,3,leg,coaches-son-00-0036963,COACHES_SON,COACHES SON · Amon-Ra St. Brown,0,00-0036963,Amon-Ra St. Brown,DET,recyds,over,75.5,-114.0,0.712,,,2026-09-25T21:18:54.857194+00:00,,,
2026,3,leg,coaches-son-00-0036963,COACHES_SON,COACHES SON · Amon-Ra St. Brown,1,00-0036963,Amon-Ra St. Brown,DET,recs,over,7.5,130.0,0.873,,,2026-09-25T21:18:54.857194+00:00,,,
2026,3,leg,coaches-son-00-0036963,COACHES_SON,COACHES SON · Amon-Ra St. Brown,2,00-0036963,Amon-Ra St. Brown,DET,anytd,over,0.5,-125.0,0.881,,,2026-09-25T21:18:54.857194+00:00,,,
2026,3,leg,vol-stack-qb-wr-00-0030565-00-0039890,VOLUME_STACK,VOLUME STACK · Geno Smith + Adonai Mitchell,0,00-0030565,Geno Smith,NYJ,passyds,over,223.5,-114.0,0.729,,,2026-09-25T21:18:54.857194+00:00,,,
2026,3,leg,vol-stack-qb-wr-00-0030565-00-0039890,VOLUME_STACK,VOLUME STACK · Geno Smith + Adonai Mitchell,1,00-0039890,Adonai Mitchell,NYJ,recyds,over,47.5,-114.0,0.75,,,2026-09-25T21:18:54.857194+00:00,,,
2026,3,leg,vol-stack-qb-wr-00-0040743-00-0037239,VOLUME_STACK,VOLUME STACK · Tyler Shough + Chris Olave,0,00-0040743,Tyler Shough,NO,passyds,over,252.5,-114.0,0.802,,,2026-09-25T21:18:54.857194+00:00,,,
2026,3,leg,vol-stack-qb-wr-00-0040743-00-0037239,VOLUME_STACK,VOLUME STACK · Tyler Shough + Chris Olave,1,00-0037239,Chris Olave,NO,recyds,over,76.5,-114.0,0.713,,,2026-09-25T21:18:54.857194+00:00,,,
2026,3,leg,vol-stack-qb-wr-00-0033106-00-0036963,VOLUME_STACK,VOLUME STACK · Jared Goff + Amon-Ra St. Brown,0,00-0033106,Jared Goff,DET,passyds,over,258.5,-114.0,0.753,,,2026-09-25T21:18:54.857194+00:00,,,
