season,team,player_id,player_name,opportunity_type,team_opp_i20,team_opp_i10,team_opp_i5,opp_i20,yds_i20,td_i20,pct_i20_intra,pct_i20_shrunk,opp_i10,yds_i10,td_i10,pct_i10_intra,pct_i10_shrunk,opp_i5,yds_i5,td_i5,pct_i5_intra,pct_i5_shrunk,opp_g2g,td_g2g,pct_g2g_shrunk
2026,ARI,00-0037263,T.Allgeier,target,18,9,4,4,6,0,0.2222,0.1818,1,0,0,0.1111,0.0769,1,0,0,0.25,0.125,1,0,0.0833
2026,ARI,00-0033307,K.Bourne,target,18,9,4,1,11,0,0.0556,0.0455,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,LAC,00-0039915,L.McConkey,target,14,9,2,2,8,1,0.1429,0.1111,2,8,1,0.2222,0.1538,0,0,0,0.0,0.0,1,0,0.1
2026,ARI,00-0041027,J.Love,target,18,9,4,6,18,1,0.3333,0.2727,3,9,1,0.3333,0.2308,1,5,1,0.25,0.125,3,1,0.25
2026,LAC,00-0033885,D.Njoku,target,14,9,2,1,6,0,0.0714,0.0556,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,PIT,00-0036139,R.Dowdle,target,6,2,0,1,3,0,0.1667,0.1,0,0,0,0.0,0.0,0,0,0,,0.0,0,0,0.0
2026,PIT,00-0037228,J.Warren,target,6,2,0,2,7,0,0.3333,0.2,1,0,0,0.5,0.1667,0,0,0,,0.0,0,0,0.0
2026,IND,00-0030279,K.Allen,target,18,9,6,1,3,0,0.0556,0.0455,1,3,0,0.1111,0.0769,0,0,0,0.0,0.0,1,0,0.0833
2026,IND,00-0038997,J.Downs,target,18,9,6,2,17,0,0.1111,0.0909,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,IND,00-0036223,J.Taylor,target,18,9,6,10,20,3,0.5556,0.4545,6,13,3,0.6667,0.4615,5,8,3,0.8333,0.5,5,2,0.4167
2026,IND,00-0037664,A.Pierce,target,18,9,6,1,13,0,0.0556,0.0455,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,BAL,00-0032764,D.Henry,target,17,10,5,11,47,3,0.6471,0.5238,7,24,3,0.7,0.5,3,8,3,0.6,0.3333,7,3,0.4375
2026,BAL,00-0036550,R.Bateman,target,17,10,5,1,0,0,0.0588,0.0476,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,HOU,00-0038608,K.Boutte,target,15,5,3,1,0,0,0.0667,0.0526,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,BUF,00-0037261,K.Shakir,target,20,10,8,3,2,0,0.15,0.125,1,0,0,0.1,0.0714,1,0,0,0.125,0.0833,1,0,0.0833
2026,BUF,00-0038933,D.Kincaid,target,20,10,8,1,16,1,0.05,0.0417,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,HOU,00-0040583,W.Marks,target,15,5,3,3,1,0,0.2,0.1579,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,HOU,00-0038618,X.Hutchinson,target,15,5,3,1,0,0,0.0667,0.0526,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,CHI,00-0040735,L.Burden,target,25,14,6,2,8,0,0.08,0.069,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,CAR,00-0037005,T.Tremble,target,30,18,7,1,4,0,0.0333,0.0294,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,CAR,00-0039491,J.Coker,target,30,18,7,5,19,1,0.1667,0.1471,4,16,1,0.2222,0.1818,1,0,0,0.1429,0.0909,4,1,0.2
2026,CAR,00-0040187,M.Evans,target,30,18,7,2,9,0,0.0667,0.0588,1,0,0,0.0556,0.0455,1,0,0,0.1429,0.0909,1,0,0.05
2026,CHI,00-0032464,K.Raymond,target,25,14,6,2,15,0,0.08,0.069,1,8,0,0.0714,0.0556,0,0,0,0.0,0.0,0,0,0.0
2026,CHI,00-0040236,K.Monangai,target,25,14,6,4,10,0,0.16,0.1379,3,3,0,0.2143,0.1667,0,0,0,0.0,0.0,0,0,0.0
2026,CAR,00-0040124,T.McMillan,target,30,18,7,4,18,0,0.1333,0.1176,3,0,0,0.1667,0.1364,2,0,0,0.2857,0.1818,2,0,0.1
2026,CAR,00-0039344,J.Brooks,target,30,18,7,4,8,0,0.1333,0.1176,1,3,0,0.0556,0.0455,0,0,0,0.0,0.0,1,0,0.05
2026,CHI,00-0040126,C.Loveland,target,25,14,6,2,0,0,0.08,0.069,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,CHI,00-0036275,D.Swift,target,25,14,6,9,27,2,0.36,0.3103,6,12,2,0.4286,0.3333,4,6,2,0.6667,0.4,5,2,0.4167
2026,CLE,00-0041547,K.Concepcion,target,10,2,1,2,4,0,0.2,0.1429,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,JAX,00-0041100,J.Cameron,target,9,7,5,1,4,1,0.1111,0.0769,1,4,1,0.1429,0.0909,1,4,1,0.2,0.1111,1,1,0.0909
2026,CLE,00-0040784,Q.Judkins,target,10,2,1,3,6,0,0.3,0.2143,1,2,0,0.5,0.1667,1,2,0,1.0,0.2,0,0,0.0
2026,CLE,00-0041037,D.Boston,target,10,2,1,2,0,0,0.2,0.1429,1,0,0,0.5,0.1667,0,0,0,0.0,0.0,0,0,0.0
2026,JAX,00-0040719,B.Tuten,target,9,7,5,3,10,1,0.3333,0.2308,2,1,1,0.2857,0.1818,2,1,1,0.4,0.2222,2,1,0.1818
2026,DAL,00-0036358,C.Lamb,target,19,9,7,3,19,2,0.1579,0.1304,2,4,2,0.2222,0.1538,2,4,2,0.2857,0.1818,2,2,0.1667
2026,NYG,00-0039337,M.Nabers,target,17,7,4,2,13,0,0.1176,0.0952,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,NYG,00-0037838,I.Likely,target,17,7,4,4,35,2,0.2353,0.1905,1,2,1,0.1429,0.0909,1,2,1,0.25,0.125,1,1,0.1429
2026,DAL,00-0037801,K.Turpin,target,19,9,7,1,1,0,0.0526,0.0435,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,DAL,00-0038041,J.Ferguson,target,19,9,7,3,22,2,0.1579,0.1304,2,10,1,0.2222,0.1538,1,0,0,0.1429,0.0909,2,1,0.1667
2026,DAL,00-0036997,J.Williams,target,19,9,7,9,16,2,0.4737,0.3913,4,2,1,0.4444,0.3077,4,2,1,0.5714,0.3636,4,1,0.3333
2026,KC,00-0030506,T.Kelce,target,25,10,8,1,13,1,0.04,0.0345,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,KC,00-0039894,X.Worthy,target,25,10,8,4,7,1,0.16,0.1379,2,5,1,0.2,0.1429,2,5,1,0.25,0.1667,2,1,0.1333
2026,KC,00-0041013,E.Johnson,target,25,10,8,1,4,0,0.04,0.0345,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,GB,00-0040667,M.Golden,target,18,9,2,3,8,0,0.1667,0.1364,1,0,0,0.1111,0.0769,0,0,0,0.0,0.0,1,0,0.0769
2026,MIN,00-0036322,J.Jefferson,target,15,5,3,4,16,1,0.2667,0.2105,2,11,1,0.4,0.2222,1,2,0,0.3333,0.1429,0,0,0.0
2026,GB,00-0038124,C.Watson,target,18,9,2,3,5,2,0.1667,0.1364,2,5,2,0.2222,0.1538,2,5,2,1.0,0.3333,2,2,0.1538
2026,MIN,00-0033293,A.Jones,target,15,5,3,4,8,1,0.2667,0.2105,1,3,1,0.2,0.1111,1,3,1,0.3333,0.1429,1,1,0.1667
2026,GB,00-0039146,J.Reed,target,18,9,2,1,0,0,0.0556,0.0455,1,0,0,0.1111,0.0769,0,0,0,0.0,0.0,1,0,0.0769
2026,GB,00-0038685,C.Brooks,target,18,9,2,4,12,0,0.2222,0.1818,2,9,0,0.2222,0.1538,0,0,0,0.0,0.0,2,0,0.1538
2026,MIA,00-0039040,D.Achane,target,14,4,1,7,22,0,0.5,0.3889,3,4,0,0.75,0.375,1,-1,0,1.0,0.2,4,0,0.5
2026,LV,00-0037291,J.Nailor,target,22,6,4,1,0,0,0.0455,0.0385,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,MIA,00-0041523,C.Douglas,target,14,4,1,1,8,0,0.0714,0.0556,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,MIA,00-0037252,G.Dulcich,target,14,4,1,1,0,0,0.0714,0.0556,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,NE,00-0033555,M.Hollins,target,3,1,1,1,0,0,0.3333,0.1429,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,SEA,00-0039793,A.Barner,target,27,13,8,1,1,1,0.037,0.0323,1,1,1,0.0769,0.0588,1,1,1,0.125,0.0833,1,1,0.0667
2026,SEA,00-0041512,J.Price,target,27,13,8,3,6,0,0.1111,0.0968,2,0,0,0.1538,0.1176,1,-2,0,0.125,0.0833,2,0,0.1333
2026,DET,00-0036963,A.St. Brown,target,27,12,9,6,38,3,0.2222,0.1935,3,10,2,0.25,0.1875,2,6,2,0.2222,0.1538,2,1,0.1667
2026,NO,00-0039424,D.Vele,target,22,12,5,2,1,1,0.0909,0.0769,2,1,1,0.1667,0.125,1,1,1,0.2,0.1111,2,1,0.1429
2026,DET,00-0039065,S.LaPorta,target,27,12,9,4,15,1,0.1481,0.129,3,8,1,0.25,0.1875,2,1,1,0.2222,0.1538,2,1,0.1667
2026,DET,00-0040669,I.TeSlaa,target,27,12,9,1,0,0,0.037,0.0323,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,NO,00-0036040,J.Johnson,target,22,12,5,4,15,1,0.1818,0.1538,3,15,1,0.25,0.1875,0,0,0,0.0,0.0,3,1,0.2143
2026,NO,00-0041067,B.Lance,target,22,12,5,1,0,0,0.0455,0.0385,1,0,0,0.0833,0.0625,1,0,0,0.2,0.1111,0,0,0.0
2026,DET,00-0039364,S.Vaki,target,27,12,9,1,4,0,0.037,0.0323,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,0,0.0833
2026,NYJ,00-0037740,G.Wilson,target,14,5,5,1,5,1,0.0714,0.0556,1,5,1,0.2,0.1111,1,5,1,0.2,0.1111,1,1,0.125
2026,TEN,00-0040584,G.Helm,target,16,8,5,2,8,0,0.125,0.1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,NYJ,00-0039451,I.Williams,target,14,5,5,1,8,0,0.0714,0.0556,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,NYJ,00-0039890,A.Mitchell,target,14,5,5,1,15,0,0.0714,0.0556,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,NYJ,00-0037805,J.Ruckert,target,14,5,5,1,0,0,0.0714,0.0556,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,LA,00-0039075,P.Nacua,target,16,10,5,1,1,0,0.0625,0.05,1,1,0,0.1,0.0714,1,1,0,0.2,0.1111,1,0,0.0833
2026,SF,00-0031408,M.Evans,target,22,13,8,2,10,1,0.0909,0.0769,1,2,1,0.0769,0.0588,1,2,1,0.125,0.0833,1,1,0.0667
2026,SF,00-0041052,K.Black,target,22,13,8,2,4,0,0.0909,0.0769,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,SF,00-0033280,C.McCaffrey,target,22,13,8,8,31,2,0.3636,0.3077,5,5,2,0.3846,0.2941,4,4,2,0.5,0.3333,5,2,0.3333
2026,LA,00-0031381,D.Adams,target,16,10,5,1,11,1,0.0625,0.05,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,LA,00-0040737,T.Ferguson,target,16,10,5,1,5,1,0.0625,0.05,1,5,1,0.1,0.0714,1,5,1,0.2,0.1111,1,1,0.0833
2026,TB,00-0040129,E.Egbuka,target,20,4,1,2,5,1,0.1,0.0833,1,5,1,0.25,0.125,1,5,1,1.0,0.2,1,1,0.125
2026,CIN,00-0038597,C.Brown,target,18,6,6,7,23,1,0.3889,0.3182,3,8,1,0.5,0.3,3,8,1,0.5,0.3,2,1,0.25
