game_id,season,game_type,week,game_date,weekday,game_time_local,away_team,home_team,away_score,home_score,location,result_margin,total_points,overtime,roof,surface,stadium_id,stadium,temp_actual,wind_actual,spread_line,away_spread_odds,home_spread_odds,total_line,over_odds,under_odds,away_moneyline,home_moneyline,div_game,away_qb_name,home_qb_name,away_coach,home_coach,referee,ingest_run_id
2026_01_NE_SEA,2026,REG,1,2026-09-09,Wednesday,20:20,NE,SEA,10,13,Home,3,23,False,outdoors,fieldturf,SEA00,Lumen Field,74,6,3.0,-102,-118,44.5,-108,-112,140,-166,False,Drake Maye,Sam Darnold,Mike Vrabel,Mike Macdonald,Adrian Hill,20260925T021551Z
2026_01_SF_LA,2026,REG,1,2026-09-10,Thursday,20:35,SF,LA,27,7,Neutral,-20,34,False,dome,grass,MEL00,Melbourne Cricket Ground,57,4,3.5,-105,-115,47.5,-115,-105,180,-218,True,Brock Purdy,Matthew Stafford,Kyle Shanahan,Sean McVay,Alex Kemp,20260925T021551Z
2026_01_CHI_CAR,2026,REG,1,2026-09-13,Sunday,13:00,CHI,CAR,59,37,Home,-22,96,False,outdoors,grass,CAR00,Bank of America Stadium,89,2,-3.0,-112,-108,47.5,-105,-115,-166,140,False,Caleb Williams,Bryce Young,Ben Johnson,Dave Canales,Brad Allen,20260925T021551Z
2026_01_TB_CIN,2026,REG,1,2026-09-13,Sunday,13:00,TB,CIN,27,33,Home,6,60,False,outdoors,fieldturf,CIN00,Paycor Stadium,85,7,3.5,-102,-118,50.5,-108,-112,170,-205,False,Baker Mayfield,Joe Burrow,Todd Bowles,Zac Taylor,John Hussey,20260925T021551Z
2026_01_NO_DET,2026,REG,1,2026-09-13,Sunday,13:00,NO,DET,30,31,Home,1,61,True,dome,fieldturf,DET00,Ford Field,,,7.0,-110,-110,49.5,-115,-105,260,-325,False,Tyler Shough,Jared Goff,Kellen Moore,Dan Campbell,Alan Eck,20260925T021551Z
2026_01_BUF_HOU,2026,REG,1,2026-09-13,Sunday,13:00,BUF,HOU,36,31,Home,-5,67,False,closed,astroturf,HOU00,Reliant Stadium,,,-1.5,-105,-115,44.5,-110,-110,-112,-108,False,Josh Allen,C.J. Stroud,Sean McDermott,DeMeco Ryans,Alex Moore,20260925T021551Z
2026_01_BAL_IND,2026,REG,1,2026-09-13,Sunday,13:00,BAL,IND,41,23,Home,-18,64,False,closed,fieldturf,IND00,Lucas Oil Stadium,,,-3.0,-108,-112,48.5,-102,-118,-162,136,False,Lamar Jackson,Daniel Jones,Jesse Minter,Shane Steichen,Scott Novak,20260925T021551Z
2026_01_CLE_JAX,2026,REG,1,2026-09-13,Sunday,13:00,CLE,JAX,10,34,Home,24,44,False,outdoors,grass,JAX00,EverBank Stadium,89,3,8.5,-105,-115,40.5,-102,-118,360,-470,False,Deshaun Watson,Trevor Lawrence,Todd Monken,Liam Coen,Craig Wrolstad,20260925T021551Z
2026_01_ATL_PIT,2026,REG,1,2026-09-13,Sunday,13:00,ATL,PIT,13,20,Home,7,33,False,outdoors,grass,PIT00,Acrisure Stadium,77,4,6.5,-108,-112,40.5,-112,-108,240,-298,False,Cooper Rush,Aaron Rodgers,Raheem Morris,Mike McCarthy,Brad Rogers,20260925T021551Z
2026_01_NYJ_TEN,2026,REG,1,2026-09-13,Sunday,13:00,NYJ,TEN,23,10,Home,-13,33,False,outdoors,grass,NAS00,Nissan Stadium,90,2,1.5,-115,-105,39.5,-110,-110,-102,-118,False,Geno Smith,Cam Ward,Aaron Glenn,Robert Saleh,Land Clark,20260925T021551Z
2026_01_ARI_LAC,2026,REG,1,2026-09-13,Sunday,16:25,ARI,LAC,26,14,Home,-12,40,False,dome,matrixturf,LAX01,SoFi Stadium,,,8.5,-102,-118,47.5,-102,-118,350,-455,False,Jacoby Brissett,Justin Herbert,Jonathan Gannon,Jim Harbaugh,Ron Torbert,20260925T021551Z
2026_01_MIA_LV,2026,REG,1,2026-09-13,Sunday,16:25,MIA,LV,13,27,Home,14,40,False,dome,grass,VEG00,Allegiant Stadium,,,3.0,-110,-110,40.5,-110,-110,142,-170,False,Malik Willis,Kirk Cousins,Jeff Hafley,Klint Kubliak,Clete Blakeman,20260925T021551Z
2026_01_GB_MIN,2026,REG,1,2026-09-13,Sunday,16:25,GB,MIN,22,39,Home,17,61,False,dome,sportturf,MIN01,U.S. Bank Stadium,,,1.5,-105,-115,46.5,-102,-118,105,-125,True,Jordan Love,Kyler Murray,Matt LaFleur,Kevin O'Connell,Shawn Hochuli,20260925T021551Z
2026_01_WAS_PHI,2026,REG,1,2026-09-13,Sunday,16:25,WAS,PHI,22,24,Home,2,46,False,outdoors,grass,PHI00,Lincoln Financial Field,82,7,6.0,-110,-110,43.5,-115,-105,200,-245,True,Jayden Daniels,Jalen Hurts,Dan Quinn,Nick Sirianni,Shawn Smith,20260925T021551Z
2026_01_DAL_NYG,2026,REG,1,2026-09-13,Sunday,20:20,DAL,NYG,20,28,Home,8,48,False,outdoors,fieldturf,NYC01,MetLife Stadium,80,7,-3.0,-112,-108,47.5,-115,-105,-166,140,True,Dak Prescott,Jaxson Dart,Brian Schottenheimer,John Harbaugh,Carl Cheffers,20260925T021551Z
2026_01_DEN_KC,2026,REG,1,2026-09-14,Monday,20:15,DEN,KC,10,31,Home,21,41,False,outdoors,grass,KAN00,GEHA Field at Arrowhead Stadium,91,13,2.5,-112,-108,42.5,-110,-110,110,-130,True,Bo Nix,Patrick Mahomes,Sean Payton,Andy Reid,Clay Martin,20260925T021551Z
2026_02_DET_BUF,2026,REG,2,2026-09-17,Thursday,20:15,DET,BUF,31,41,Home,10,72,False,outdoors,grass,BUF00,Highmark Stadium,67,4,5.5,-115,-105,54.5,-118,-102,195,-238,False,Jared Goff,Josh Allen,Dan Campbell,Sean McDermott,Ron Torbert,20260925T021551Z
2026_02_CAR_ATL,2026,REG,2,2026-09-20,Sunday,13:00,CAR,ATL,34,3,Home,-31,37,False,closed,fieldturf,ATL97,Mercedes-Benz Stadium,,,-2.5,-120,100,43.5,-110,-110,-155,130,True,Bryce Young,Tua Tagovailoa,Dave Canales,Raheem Morris,Alex Moore,20260925T021551Z
2026_02_NO_BAL,2026,REG,2,2026-09-20,Sunday,13:00,NO,BAL,24,17,Home,-7,41,False,outdoors,grass,BAL00,M&T Bank Stadium,79,10,8.5,-115,-105,45.5,-105,-115,295,-375,False,Tyler Shough,Lamar Jackson,Kellen Moore,Jesse Minter,Clete Blakeman,20260925T021551Z
2026_02_MIN_CHI,2026,REG,2,2026-09-20,Sunday,13:00,MIN,CHI,9,3,Home,-6,12,False,outdoors,grass,CHI98,Soldier Field,68,8,4.5,-108,-112,46.5,-115,-105,180,-218,True,Carson Wentz,Caleb Williams,Kevin O'Connell,Ben Johnson,Land Clark,20260925T021551Z
2026_02_CIN_HOU,2026,REG,2,2026-09-20,Sunday,13:00,CIN,HOU,20,6,Home,-14,26,False,closed,astroturf,HOU00,Reliant Stadium,,,3.0,-118,-102,45.5,-110,-110,124,-148,False,Joe Burrow,C.J. Stroud,Zac Taylor,DeMeco Ryans,Adrian Hill,20260925T021551Z
2026_02_PIT_NE,2026,REG,2,2026-09-20,Sunday,13:00,PIT,NE,3,20,Home,17,23,False,outdoors,fieldturf,BOS00,Gillette Stadium,63,7,4.5,-102,-118,41.5,-105,-115,185,-225,False,Aaron Rodgers,Drake Maye,Mike McCarthy,Mike Vrabel,Carl Cheffers,20260925T021551Z
2026_02_GB_NYJ,2026,REG,2,2026-09-20,Sunday,13:00,GB,NYJ,20,17,Home,-3,37,True,outdoors,fieldturf,NYC01,MetLife Stadium,69,7,-3.5,-108,-112,44.5,-110,-110,-185,154,False,Jordan Love,Geno Smith,Matt LaFleur,Aaron Glenn,Scott Novak,20260925T021551Z
2026_02_CLE_TB,2026,REG,2,2026-09-20,Sunday,13:00,CLE,TB,23,19,Home,-4,42,False,outdoors,grass,TAM00,Raymond James Stadium,86,4,8.5,-115,-105,41.5,-108,-112,330,-425,False,Deshaun Watson,Baker Mayfield,Todd Monken,Todd Bowles,Brad Rogers,20260925T021551Z
2026_02_PHI_TEN,2026,REG,2,2026-09-20,Sunday,13:00,PHI,TEN,24,20,Home,-4,44,False,outdoors,grass,NAS00,Nissan Stadium,92,5,-7.0,-115,-105,39.5,-112,-108,-325,260,False,Jalen Hurts,Cam Ward,Nick Sirianni,Robert Saleh,Clay Martin,20260925T021551Z
2026_02_JAX_DEN,2026,REG,2,2026-09-20,Sunday,16:05,JAX,DEN,13,20,Home,7,33,False,outdoors,grass,DEN00,Empower Field at Mile High,73,12,2.5,-105,-115,45.5,-110,-110,124,-148,False,Trevor Lawrence,Bo Nix,Liam Coen,Sean Payton,John Hussey,20260925T021551Z
