season,team,player_id,player_name,spine_metric,games,spine_opps,team_spine_opps,spine_opps_stress,team_spine_opps_stress,spine_opps_calm,team_spine_opps_calm,share_overall,share_stress,share_calm,confidence_delta
2026,ARI,00-0033119,J.Brissett,rush_attempts_qb,1,5,33,3,10,2,23,0.1515,0.3,0.087,0.213
2026,LAC,00-0038454,K.Mitchell,rush_attempts,2,9,47,3,15,6,32,0.1915,0.2,0.1875,0.0125
2026,JAX,00-0033319,N.Mullens,rush_attempts_qb,1,3,32,1,10,2,22,0.0938,0.1,0.0909,0.0091
2026,MIN,00-0032950,C.Wentz,rush_attempts_qb,2,6,58,4,21,2,37,0.1034,0.1905,0.0541,0.1364
2026,GB,00-0038090,S.Moore,targets,2,4,69,2,28,2,41,0.058,0.0714,0.0488,0.0226
2026,MIA,00-0038128,M.Willis,rush_attempts_qb,2,2,41,1,16,1,25,0.0488,0.0625,0.04,0.0225
2026,NYJ,00-0030565,G.Smith,rush_attempts_qb,2,5,60,2,20,3,40,0.0833,0.1,0.075,0.025
2026,SF,00-0037834,B.Purdy,rush_attempts_qb,1,3,28,2,5,1,23,0.1071,0.4,0.0435,0.3565
2026,PHI,00-0039746,W.Shipley,rush_attempts,2,9,50,5,16,4,34,0.18,0.3125,0.1176,0.1949
2026,CLE,00-0033537,D.Watson,rush_attempts_qb,2,7,39,4,15,3,24,0.1795,0.2667,0.125,0.1417
2026,KC,00-0036637,N.Gray,targets,2,2,68,0,32,2,36,0.0294,0.0,0.0556,-0.0556
2026,DEN,00-0036158,J.Dobbins,rush_attempts,2,18,42,3,17,15,25,0.4286,0.1765,0.6,-0.4235
2026,LAC,00-0036355,J.Herbert,rush_attempts_qb,1,2,31,2,9,0,22,0.0645,0.2222,0.0,0.2222
2026,LV,00-0037304,C.Heyward,rush_attempts,2,2,64,2,23,0,41,0.0313,0.087,0.0,0.087
2026,MIA,00-0040198,O.Gordon,rush_attempts,1,3,28,1,12,2,16,0.1071,0.0833,0.125,-0.0417
2026,NYG,00-0031503,J.Winston,rush_attempts_qb,1,2,21,2,6,0,15,0.0952,0.3333,0.0,0.3333
2026,PIT,00-0035594,T.Homer,rush_attempts,1,2,21,0,4,2,17,0.0952,0.0,0.1176,-0.1176
2026,NE,00-0039851,D.Maye,rush_attempts_qb,2,3,51,1,13,2,38,0.0588,0.0769,0.0526,0.0243
2026,ARI,00-0037157,Z.Knight,rush_attempts,1,2,16,0,5,2,11,0.125,0.0,0.1818,-0.1818
2026,ARI,00-0038559,Mi.Wilson,targets,2,14,63,7,25,7,38,0.2222,0.28,0.1842,0.0958
2026,LAC,00-0040189,O.Gadsden,targets,2,4,53,2,23,2,30,0.0755,0.087,0.0667,0.0203
2026,JAX,00-0036971,T.Lawrence,rush_attempts_qb,2,4,56,2,17,2,39,0.0714,0.1176,0.0513,0.0664
2026,MIN,00-0035249,J.Oliver,targets,2,5,43,0,24,5,19,0.1163,0.0,0.2632,-0.2632
2026,GB,00-0039811,M.Lloyd,rush_attempts,2,19,39,3,9,16,30,0.4872,0.3333,0.5333,-0.2
2026,MIA,00-0041524,W.Kacmarek,targets,2,2,50,1,16,1,34,0.04,0.0625,0.0294,0.0331
2026,NYJ,00-0039794,B.Allen,rush_attempts,2,15,60,7,20,8,40,0.25,0.35,0.2,0.15
2026,SF,00-0032775,D.Robinson,targets,2,6,55,2,24,4,31,0.1091,0.0833,0.129,-0.0457
2026,PHI,00-0036912,D.Smith,targets,2,19,56,13,30,6,26,0.3393,0.4333,0.2308,0.2026
2026,CLE,00-0036407,J.Jeudy,targets,2,5,52,0,15,5,37,0.0962,0.0,0.1351,-0.1351
2026,KC,00-0040646,J.Royals,targets,1,2,43,1,20,1,23,0.0465,0.05,0.0435,0.0065
2026,DEN,00-0033881,E.Engram,targets,2,6,56,1,22,5,34,0.1071,0.0455,0.1471,-0.1016
2026,LV,00-0040894,M.Benson,targets,2,3,58,1,23,2,35,0.0517,0.0435,0.0571,-0.0137
2026,MIN,00-0036425,D.Dallas,rush_attempts,2,2,58,0,21,2,37,0.0345,0.0,0.0541,-0.0541
2026,NYG,00-0036893,N.Harris,rush_attempts,1,4,21,2,6,2,15,0.1905,0.3333,0.1333,0.2
2026,PIT,00-0036862,B.Skowronek,targets,1,1,37,0,11,1,26,0.027,0.0,0.0385,-0.0385
2026,NE,00-0040734,T.Henderson,rush_attempts,1,16,26,5,8,11,18,0.6154,0.625,0.6111,0.0139
2026,ARI,00-0039849,M.Harrison,targets,2,4,63,0,25,4,38,0.0635,0.0,0.1053,-0.1053
2026,JAX,00-0038611,C.Rodriguez,rush_attempts,2,12,56,6,17,6,39,0.2143,0.3529,0.1538,0.1991
2026,GB,00-0037091,B.Melton,targets,2,2,69,1,28,1,41,0.029,0.0357,0.0244,0.0113
2026,MIA,00-0039880,M.Washington,targets,2,13,50,3,16,10,34,0.26,0.1875,0.2941,-0.1066
2026,NYJ,00-0038120,B.Hall,rush_attempts,2,38,60,10,20,28,40,0.6333,0.5,0.7,-0.2
