season,team,tds_scored,red_zone_tds,goal_to_go_tds,third_down_tds,tds_per_game,tds_allowed,red_zone_tds_allowed,goal_to_go_tds_allowed,third_down_tds_allowed,tds_allowed_per_game,td_differential
2026,ARI,3,3,3,0,1.5,6,5,2,4,3.0,-3
2026,LAC,4,4,2,2,2.0,5,4,2,2,2.5,-1
2026,ATL,1,0,0,1,1.0,6,4,2,3,3.0,-5
2026,HOU,4,4,2,1,4.0,6,2,1,2,3.0,-2
2026,CAR,9,7,5,3,4.5,8,4,3,3,8.0,1
2026,CHI,8,4,3,3,8.0,5,4,3,1,5.0,3
2026,NYG,4,4,2,1,4.0,7,6,3,2,3.5,-3
2026,GB,4,3,3,0,2.0,7,6,4,2,3.5,-3
2026,MIN,5,4,2,2,5.0,2,1,1,0,2.0,3
2026,LV,6,5,0,4,3.0,3,3,2,0,1.5,3
2026,DET,8,7,4,1,4.0,10,9,8,1,5.0,-2
2026,NO,6,5,5,0,3.0,6,5,4,1,3.0,0
2026,SF,8,7,4,2,4.0,2,1,1,1,1.0,6
2026,PHI,6,4,2,2,3.0,5,5,4,3,2.5,1
2026,WAS,5,5,3,2,2.5,7,5,3,2,3.5,-2
2026,PIT,2,1,0,1,2.0,3,0,0,1,1.5,-1
2026,IND,6,5,4,1,3.0,8,6,5,0,4.0,-2
2026,BAL,7,4,4,0,3.5,5,4,4,1,2.5,2
2026,BUF,10,6,5,2,5.0,8,7,3,1,4.0,2
2026,JAX,5,3,2,1,2.5,3,2,2,0,1.5,2
2026,CLE,3,1,0,1,1.5,5,3,2,1,2.5,-2
2026,DAL,7,6,4,1,3.5,6,6,3,1,3.0,1
2026,KC,7,6,4,0,3.5,4,3,1,0,2.0,3
2026,DEN,3,3,2,0,1.5,5,4,3,0,2.5,-2
2026,MIA,2,1,0,1,1.0,8,8,3,3,4.0,-6
2026,NE,3,1,1,0,1.5,1,0,0,0,1.0,2
2026,SEA,5,3,2,2,2.5,2,2,2,0,1.0,3
2026,NYJ,4,4,3,0,2.0,3,3,2,1,1.5,1
2026,TEN,3,3,2,2,1.5,5,4,2,0,2.5,-2
2026,LA,5,4,2,1,2.5,3,2,1,1,3.0,2
2026,CIN,5,3,1,3,2.5,3,2,2,1,3.0,2
2026,TB,4,3,3,1,2.0,5,3,1,3,2.5,-1
