team,games_played_this_season,covers_last_5,games_last_5,cover_pct_last_5,covers_last_10,games_last_10,cover_pct_last_10
KC,2,2,2,100.0,2,2,100.0
CIN,2,2,2,100.0,2,2,100.0
SEA,2,2,2,100.0,2,2,100.0
BUF,2,2,2,100.0,2,2,100.0
BAL,2,2,2,100.0,2,2,100.0
MIN,2,2,2,100.0,2,2,100.0
PHI,2,2,2,100.0,2,2,100.0
SF,2,2,2,100.0,2,2,100.0
LV,2,2,2,100.0,2,2,100.0
CHI,2,1,2,50.0,1,2,50.0
DAL,2,1,2,50.0,1,2,50.0
PIT,2,1,2,50.0,1,2,50.0
DEN,2,1,2,50.0,1,2,50.0
TB,2,1,2,50.0,1,2,50.0
JAX,2,1,2,50.0,1,2,50.0
NE,2,1,2,50.0,1,2,50.0
LA,2,1,2,50.0,1,2,50.0
NYJ,2,1,2,50.0,1,2,50.0
DET,2,1,2,50.0,1,2,50.0
CAR,2,1,2,50.0,1,2,50.0
GB,2,1,2,50.0,1,2,50.0
ARI,2,1,2,50.0,1,2,50.0
NYG,2,1,2,50.0,1,2,50.0
IND,2,0,2,0.0,0,2,0.0
MIA,2,0,2,0.0,0,2,0.0
TEN,2,0,2,0.0,0,2,0.0
CLE,2,0,2,0.0,0,2,0.0
NO,2,0,2,0.0,0,2,0.0
WAS,2,0,2,0.0,0,2,0.0
HOU,2,0,2,0.0,0,2,0.0
ATL,2,0,2,0.0,0,2,0.0
LAC,2,0,2,0.0,0,2,0.0
