season,team,games_played,wins,losses,win_pct,points_allowed_total,points_allowed_per_game,rank_scoring_defense,sacks,rank_sacks,interceptions,rank_interceptions,turnovers_created,rank_turnovers_created,qb_hits,tackles_for_loss,passes_defended,def_tds,pressures,times_blitzed,times_hurried,times_hit_qb,completion_pct_allowed,yards_allowed_per_tgt,passer_rating_allowed,adot_allowed,points_allowed_2nd_half,points_allowed_2nd_half_per_game
2026,LV,2,2,0,100.0,27,13.5,5,8.0,1,3,2,9,1,20,9,9,0,34,20,13,10,0.5992,8.295,80.96,9.57,14,7.0
2026,PIT,2,1,1,50.0,33,16.5,8,7.0,4,3,2,7,2,12,15,10,1,16,12,4,4,0.5039,7.219,70.49,6.14,16,8.0
2026,DAL,2,1,1,50.0,48,24.0,18,2.0,29,0,24,6,3,12,6,6,0,15,16,4,8,0.7649,7.257,95.55,8.38,24,12.0
2026,CAR,2,1,1,50.0,62,31.0,28,4.0,16,3,2,5,4,8,7,10,1,27,16,19,4,0.6494,7.847,86.68,6.63,28,28.0
2026,MIN,2,2,0,100.0,25,12.5,4,8.0,1,2,5,5,4,25,12,11,0,39,112,16,14,0.6244,7.935,75.8,7.65,3,3.0
2026,NYJ,2,1,1,50.0,30,15.0,6,6.0,9,0,24,5,4,8,10,4,0,18,29,8,4,0.5345,5.175,77.47,6.91,20,10.0
2026,SEA,2,2,0,100.0,17,8.5,2,5.0,11,4,1,4,7,12,14,10,0,17,26,4,8,0.5191,4.494,63.03,4.83,3,3.0
2026,NYG,2,1,1,50.0,48,24.0,18,1.0,31,2,5,4,7,5,2,7,0,7,24,2,4,0.7044,8.033,91.77,10.16,27,13.5
2026,CIN,2,2,0,100.0,33,16.5,8,8.0,1,0,24,4,7,13,13,9,0,28,12,14,5,0.5878,7.432,81.88,7.24,20,10.0
2026,ARI,2,1,1,50.0,45,22.5,14,4.0,16,1,14,4,7,8,11,9,0,14,15,6,3,0.6575,6.905,90.98,6.44,31,15.5
2026,SF,2,2,0,100.0,20,10.0,3,4.0,16,1,14,4,7,13,7,6,0,19,11,5,9,0.5352,5.868,73.06,8.38,7,7.0
2026,DET,2,1,1,50.0,71,35.5,31,7.0,4,2,5,4,7,17,10,9,0,27,72,10,10,0.6702,8.405,91.66,7.17,44,22.0
2026,JAX,2,1,1,50.0,30,15.0,6,5.0,11,2,5,4,7,11,8,5,0,19,27,6,7,0.6783,8.376,88.26,6.51,27,13.5
2026,BUF,2,2,0,100.0,62,31.0,28,7.0,4,0,24,3,14,20,13,9,0,25,16,7,10,0.722,8.281,99.77,7.57,31,15.5
2026,CLE,2,1,1,50.0,53,26.5,22,4.0,16,1,14,3,14,8,11,4,0,10,12,2,4,0.6748,7.31,88.02,10.9,20,10.0
2026,LA,2,1,1,50.0,33,16.5,8,2.0,29,2,5,3,14,10,4,17,0,13,39,3,8,0.6082,5.19,75.44,6.67,20,10.0
2026,NE,2,1,1,50.0,16,8.0,1,6.0,9,1,14,3,14,13,9,7,0,18,41,5,7,0.6621,7.233,83.81,6.1,13,13.0
2026,KC,2,2,0,100.0,40,20.0,11,3.0,24,2,5,3,14,9,9,9,0,14,44,4,7,0.6012,5.071,75.28,4.31,13,6.5
2026,CHI,2,1,1,50.0,46,23.0,15,5.0,11,1,14,2,19,9,7,6,0,25,23,16,4,0.6267,9.1,86.11,8.46,16,8.0
2026,NO,2,1,1,50.0,48,24.0,18,4.0,16,1,14,2,19,14,9,8,0,21,16,7,9,0.5779,7.37,80.79,7.81,27,13.5
2026,BAL,2,1,1,50.0,47,23.5,16,5.0,11,1,14,2,19,13,13,6,0,14,28,1,8,0.6781,8.029,87.05,5.05,28,14.0
2026,LAC,2,0,2,0.0,52,26.0,21,3.0,24,1,14,2,19,16,5,8,0,20,28,3,12,0.7028,8.112,92.59,7.61,29,14.5
2026,DEN,2,1,1,50.0,44,22.0,13,4.0,16,2,5,2,19,12,8,11,0,13,32,1,8,0.724,7.475,88.23,5.48,20,10.0
2026,ATL,2,0,2,0.0,54,27.0,23,4.0,16,0,24,2,19,14,7,9,0,26,8,12,8,0.62,7.55,90.46,8.51,21,10.5
2026,PHI,2,2,0,100.0,42,21.0,12,3.0,24,0,24,2,19,5,8,3,0,14,29,9,2,0.7581,10.45,96.93,6.93,23,11.5
2026,TEN,2,0,2,0.0,47,23.5,16,3.0,24,2,5,2,19,7,10,4,0,14,17,5,6,0.7899,8.275,89.96,8.19,23,11.5
2026,MIA,2,0,2,0.0,62,31.0,28,0.0,32,2,5,2,19,4,8,5,0,7,22,4,3,0.7321,9.356,98.04,7.45,31,15.5
2026,TB,2,0,2,0.0,56,28.0,24,3.0,24,1,14,1,28,10,11,8,1,13,30,3,7,0.6121,8.606,91.32,5.38,26,13.0
2026,IND,2,0,2,0.0,74,37.0,32,4.0,16,0,24,1,28,8,4,4,0,14,17,5,3,0.6852,9.75,98.37,6.77,26,13.0
2026,HOU,2,0,2,0.0,56,28.0,24,7.0,4,0,24,1,28,14,11,8,0,18,9,4,5,0.5338,7.406,87.31,6.77,25,12.5
2026,GB,2,1,1,50.0,56,28.0,24,7.0,4,1,14,1,28,16,13,6,0,28,39,13,5,0.7124,6.215,87.32,5.05,39,19.5
2026,WAS,2,0,2,0.0,61,30.5,27,5.0,11,0,24,0,32,11,13,4,0,21,44,10,6,0.7718,9.167,105.07,8.57,30,15.0
