season,week,game_id,game_date,team,opponent,home,points_for,points_against,margin,win,tds,rz_trips,rz_tds,rush_att,rush_yds,rush_tds,dropbacks,completions,pass_yds,pass_tds,sacks_taken,ints_thrown,fumbles,fumbles_lost,def_passes_defended,def_tackles_solo,def_tackles_total,third_down_att,third_down_conv,drives
2023,1,2023_01_ARI_WAS,2023-09-10,ARI,WAS,-1,16,20,-4,0.0,1.0,2.0,0.0,25.0,96.0,0.0,33.0,21.0,132.0,0.0,3.0,0.0,2.0,2.0,7.0,36.0,42.0,14.0,4.0,12.0
2023,1,2023_01_ARI_WAS,2023-09-10,WAS,ARI,1,20,16,4,1.0,2.0,5.0,2.0,28.0,92.0,1.0,37.0,19.0,202.0,1.0,6.0,1.0,2.0,2.0,3.0,34.0,38.0,12.0,4.0,13.0
2023,1,2023_01_BUF_NYJ,2023-09-11,BUF,NYJ,-1,16,22,-6,0.0,1.0,2.0,1.0,22.0,97.0,0.0,46.0,29.0,236.0,1.0,5.0,3.0,1.0,1.0,2.0,25.0,37.0,13.0,5.0,11.0
2023,1,2023_01_BUF_NYJ,2023-09-11,NYJ,BUF,1,22,16,6,1.0,2.0,3.0,1.0,28.0,172.0,0.0,25.0,14.0,140.0,1.0,3.0,1.0,1.0,0.0,4.0,41.0,52.0,13.0,5.0,12.0
2023,1,2023_01_CAR_ATL,2023-09-10,ATL,CAR,1,24,10,14,1.0,3.0,3.0,3.0,26.0,130.0,2.0,22.0,15.0,115.0,1.0,4.0,0.0,1.0,0.0,4.0,30.0,37.0,10.0,2.0,13.0
2023,1,2023_01_CAR_ATL,2023-09-10,CAR,ATL,-1,10,24,-14,0.0,1.0,2.0,1.0,32.0,154.0,0.0,40.0,20.0,146.0,1.0,2.0,2.0,2.0,1.0,0.0,28.0,35.0,14.0,5.0,12.0
2023,1,2023_01_CIN_CLE,2023-09-10,CIN,CLE,-1,3,24,-21,0.0,0.0,0.0,0.0,20.0,75.0,0.0,34.0,14.0,82.0,0.0,2.0,0.0,0.0,0.0,5.0,38.0,46.0,15.0,2.0,15.0
2023,1,2023_01_CIN_CLE,2023-09-10,CLE,CIN,1,24,3,21,1.0,2.0,3.0,2.0,40.0,206.0,1.0,32.0,16.0,154.0,1.0,3.0,1.0,1.0,1.0,4.0,23.0,24.0,14.0,4.0,14.0
2023,1,2023_01_DAL_NYG,2023-09-10,DAL,NYG,-1,40,0,40,1.0,5.0,3.0,2.0,30.0,122.0,3.0,25.0,13.0,143.0,0.0,0.0,0.0,1.0,0.0,8.0,39.0,44.0,13.0,6.0,11.0
2023,1,2023_01_DAL_NYG,2023-09-10,NYG,DAL,1,0,40,-40,0.0,0.0,2.0,0.0,28.0,108.0,0.0,37.0,17.0,110.0,0.0,7.0,2.0,5.0,1.0,4.0,22.0,28.0,16.0,5.0,12.0
2023,1,2023_01_DET_KC,2023-09-07,DET,KC,-1,21,20,1,1.0,3.0,3.0,2.0,34.0,118.0,1.0,36.0,22.0,253.0,1.0,1.0,0.0,2.0,1.0,5.0,35.0,37.0,15.0,5.0,12.0
2023,1,2023_01_DET_KC,2023-09-07,KC,DET,1,20,21,-1,0.0,2.0,3.0,2.0,23.0,90.0,0.0,39.0,21.0,226.0,2.0,0.0,1.0,0.0,0.0,4.0,33.0,42.0,14.0,5.0,11.0
2023,1,2023_01_GB_CHI,2023-09-10,CHI,GB,1,20,38,-18,0.0,2.0,2.0,1.0,29.0,122.0,1.0,41.0,24.0,216.0,1.0,4.0,1.0,1.0,1.0,4.0,30.0,34.0,13.0,3.0,12.0
2023,1,2023_01_GB_CHI,2023-09-10,GB,CHI,-1,38,20,18,1.0,5.0,3.0,3.0,32.0,92.0,1.0,28.0,15.0,245.0,3.0,1.0,0.0,2.0,0.0,6.0,40.0,46.0,16.0,9.0,12.0
2023,1,2023_01_HOU_BAL,2023-09-10,BAL,HOU,1,25,9,16,1.0,3.0,5.0,3.0,32.0,110.0,3.0,26.0,17.0,169.0,0.0,4.0,1.0,2.0,1.0,4.0,36.0,44.0,15.0,8.0,11.0
2023,1,2023_01_HOU_BAL,2023-09-10,HOU,BAL,-1,9,25,-16,0.0,0.0,2.0,0.0,23.0,72.0,0.0,49.0,28.0,242.0,0.0,5.0,0.0,1.0,1.0,1.0,34.0,41.0,18.0,7.0,12.0
