season,week,season_type,game_id,team,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_epa,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,def_tackles_solo,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_pass_defended,def_tds,def_safeties,def_fumbles_forced,def_tackles_for_loss,special_teams_tds,fumble_recovery_tds,fg_made,fg_att,fg_long,fg_pct,pat_made,pat_att,pat_pct,pt_att,pt_yards,pt_net_yards,pt_inside_20,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,penalties,penalty_yards,fumbles_total,fumbles_lost_total,timeouts,ingest_run_id
2026,1,REG,2026_01_ARI_LAC,ARI,LAC,27,37,277,1,0,1.0,0,283,98.0,15,9.01286468515324,4.60590309387929,34,116,1,7,-0.59585879921744,27,37,277,1,283,98.0,15,10.6089827702396,33,3.0,22.0,5,1,6,0,0,1,5,0,0,4,5,49,0.8,2,2,1.0,3,158,118,1,0,0,3,69,8,111,0,0,3,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,ATL,PIT,12,22,143,1,2,4.0,-25,77,118.0,4,-15.7645474334581,-10.4180133656452,31,120,0,9,-2.53277851066304,12,19,143,1,77,118.0,4,-7.013960702448,33,2.0,15.0,6,0,5,0,0,1,4,0,0,2,4,51,0.5,1,1,1.0,6,289,236,3,3,33,4,123,9,96,2,0,5,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,BAL,IND,17,25,324,1,0,2.0,-20,269,169.0,11,10.3436732474516,4.80174024899801,37,202,4,12,6.6589317773524,17,24,324,1,269,169.0,11,17.2149235176039,32,2.0,17.0,9,1,4,0,0,1,6,0,0,2,2,57,1.0,5,5,1.0,3,140,140,3,3,30,5,151,10,86,1,1,4,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,BUF,HOU,20,29,334,2,0,2.0,-11,383,109.0,13,14.5350239260416,8.14148528235299,21,86,2,5,-2.61359507121961,20,28,334,2,383,109.0,13,18.6426092158482,38,3.0,17.0,9,0,2,0,0,2,8,0,0,3,3,46,1.0,3,3,1.0,2,109,109,1,2,10,5,133,10,85,2,0,1,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,CAR,CHI,23,38,361,3,1,2.0,-8,366,156.0,17,15.1386283544877,4.17012090192122,22,125,2,5,1.21287969045807,23,34,361,3,366,156.0,17,16.2015089767519,45,2.0,8.0,3,0,1,0,0,1,4,0,0,1,1,44,1.0,4,5,0.8,3,147,104,0,2,17,7,153,11,84,2,2,5,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,CHI,CAR,21,29,269,2,0,2.0,-8,319,80.0,13,18.5652871718667,16.5803378591171,39,291,6,11,14.7314540321822,21,26,269,2,319,80.0,13,18.1772621098827,31,2.0,8.0,5,1,3,0,0,1,2,0,0,1,1,40,1.0,8,8,1.0,2,102,85,0,1,23,4,85,12,57,1,1,2,20260925T013701Z
2026,1,REG,2026_01_TB_CIN,CIN,TB,25,35,254,1,1,1.0,-9,226,144.0,14,-2.62695306242177,6.35173276943319,27,106,1,10,-0.656180913822027,25,34,254,1,226,144.0,14,2.12861286611291,41,4.0,23.0,6,0,1,0,0,4,5,0,1,4,4,58,1.0,3,3,1.0,1,51,38,0,0,0,6,142,7,47,0,0,5,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,CLE,JAX,16,22,205,1,1,5.0,-20,228,95.0,9,-5.56012219451874,10.3209957480431,22,87,0,5,0.805777254805435,16,22,205,1,228,95.0,9,-1.21505150576628,24,1.0,11.0,3,0,1,0,0,1,4,0,0,1,1,26,1.0,1,1,1.0,3,130,135,1,1,10,6,228,11,75,2,1,3,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,DAL,NYG,22,34,175,2,1,0.0,0,309,91.0,12,10.3809027645621,7.72986660401026,18,69,1,4,1.09393993107369,22,30,175,2,309,91.0,12,13.5082919155248,36,2.0,1.0,6,0,2,0,0,4,3,0,0,0,0,,,2,3,0.666666666666667,2,96,96,2,0,0,5,122,9,90,0,0,5,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,DEN,KC,17,28,131,1,1,4.0,-16,92,90.0,6,-14.381391775154,-7.77954083901865,15,61,0,2,-1.43586687103862,17,27,131,1,92,90.0,6,-6.50376518297708,33,2.0,12.0,5,1,4,0,0,0,3,0,0,1,1,31,1.0,1,1,1.0,6,314,287,3,2,36,5,138,7,52,3,1,3,20260925T013701Z
